"observer","trial","x","y","dur","onset","offset","n","aoi","aoi2"
"1",1,-55.2,53.5,116,0,1085909,1,"c","centre"
"1",1,-74.5,76.5,198,224,1086215,2,"0","blank"
"1",1,142.6,158.9,214,462,1086469,3,"d2","blank"
"1",1,-67.1,244,192,718,1086703,4,"d3","blank"
"1",1,-217.8,85.6,352,946,1087091,5,"4","blank"
"1",1,209,-10.8,160,1350,1087303,6,"d1","blank"
"1",1,204.1,-67.1,1222,1532,1088547,7,"1","target"
"1",2,-38.5,44.5,584,0,1098271,1,"c","centre"
"1",2,146.8,-44.2,238,620,1098545,2,"0","blank"
"1",2,171.7,-69.8,162,1068,1098917,3,"1","blank"
"1",2,233.6,8.20000000000005,464,1252,1099403,4,"d1","distracter"
"1",2,66.3,134.7,214,1754,1099655,5,"0","blank"
"1",2,284.4,-10.8,186,2004,1099877,6,"d1","distracter"
"1",3,-30.1,38.1,228,0,1108349,1,"c","centre"
"1",3,-12.1,149.4,270,252,1108643,2,"0","centre"
"1",3,36.6,-23.2,244,556,1108921,3,"c","centre"
"1",3,-16.9,8,472,814,1109407,4,"c","centre"
"1",3,-30.7,251.3,168,1326,1109615,5,"3","centre"
"1",3,-25.1,295.6,794,1508,1110423,6,"3","centre"
"1",3,-61.7,-30.3,226,2384,1110731,7,"c","centre"
"1",4,-33.3,56.5,242,0,1117379,1,"c","centre"
"1",4,18.4,177.2,272,270,1117679,2,"3","blank"
"1",4,40.4,73.2,124,568,1117829,3,"c","centre"
"1",4,236.8,-78.8,320,738,1118195,4,"1","target"
"1",4,36.5,96.2,210,1102,1118449,5,"0","blank"
"1",4,218.8,-77.2,752,1344,1119233,6,"1","target"
"1",5,-47.6,41.6,344,0,1129447,1,"c","centre"
"1",5,-26.9,34.8,930,354,1130387,2,"c","centre"
"1",5,-20.6,-214.1,712,1322,1131137,3,"6","target"
"1",6,-26.4,32.8,502,0,1138109,1,"c","centre"
"1",6,39.8,-128.7,226,540,1138373,2,"0","blank"
"1",6,104,-11.8,436,804,1138847,3,"0","blank"
"1",6,128.1,-183.4,148,1272,1139027,4,"d6","distracter"
"1",6,-276.3,-97.7,344,1476,1139427,5,"5","target"
"1",7,-37.3,43.2,708,0,1145231,1,"c","centre"
"1",7,130.6,-65.6,196,746,1145465,2,"0","blank"
"1",7,-42.7,17.3,334,976,1145833,3,"c","centre"
"1",7,-280.3,28,104,1356,1145983,4,"d4","distracter"
"1",7,226.7,-100.9,580,1528,1146631,5,"1","target"
"1",8,-26.2,29.8,250,0,1153109,1,"c","centre"
"1",8,191.9,-53.7,272,288,1153419,2,"1","blank"
"1",8,-38.2,-7.89999999999998,208,600,1153667,3,"c","centre"
"1",8,-27.4,25.5,506,822,1154187,4,"c","centre"
"1",8,-220.9,112.3,136,1368,1154363,5,"4","target"
"1",8,-273.5,150.5,334,1520,1154713,6,"4","target"
"1",9,-25.9,37.7,986,0,1163011,1,"c","centre"
"1",9,121.2,-50.6,324,1020,1163369,2,"0","blank"
"1",9,225.9,-89,218,1364,1163607,3,"1","target"
"1",10,-24.5,17.5,96,0,1171305,1,"c","centre"
"1",10,1.20000000000005,20.2,286,106,1171601,2,"c","centre"
"1",10,-32.6,20.8,684,526,1172419,3,"c","centre"
"1",10,-311.4,36.4,392,1250,1172851,4,"d4","distracter"
"1",11,-24.3,21.9,398,0,1177627,1,"c","centre"
"1",11,210.4,-54.1,240,432,1177901,2,"d1","distracter"
"1",11,-0.899999999999977,17.2,446,712,1178387,3,"c","centre"
"1",11,267.7,3.79999999999995,176,1194,1178599,4,"d1","distracter"
"1",11,-30.2,274.1,424,1416,1179069,5,"3","target"
"1",12,-23.7,38,542,0,1183637,1,"c","centre"
"1",12,-28.6,34.4,510,748,1184353,2,"c","centre"
"1",12,-271.5,-63.4,674,1304,1185073,3,"d4","blank"
"1",13,-29.7,35.1,92,0,1188305,1,"c","centre"
"1",13,-42.7,19.9,242,302,1188757,2,"c","centre"
"1",13,-28.3,13.5,696,552,1189461,3,"c","centre"
"1",13,214.7,-82.4,512,1294,1190019,4,"1","target"
"1",14,-20.3,38.6,574,0,1196569,1,"c","centre"
"1",14,196.7,-59.8,198,612,1196805,2,"1","blank"
"1",14,8.5,24.3,444,846,1197285,3,"c","centre"
"1",14,-272,36.9,80,1338,1197413,4,"d4","distracter"
"1",14,211.4,138.1,388,1476,1197859,5,"2","target"
"1",15,-21.5,51.5,1246,0,1209325,1,"c","centre"
"1",15,249.7,26.4,234,1294,1209607,2,"d1","distracter"
"1",15,-25.8,242.1,132,1586,1209797,3,"3","target"
"1",15,-20.9,309.8,632,1740,1210451,4,"3","target"
"1",16,-22.8,27.4,1234,0,1221249,1,"c","centre"
"1",16,-239,100.1,154,1272,1221441,2,"4","target"
"1",16,-243,137.5,304,1440,1221759,3,"4","target"
"1",17,-17.2,22.7,34,0,1225199,1,"c","centre"
"1",17,-18.7,31.2,1220,222,1226607,2,"c","centre"
"1",17,-13.5,-249.3,818,1496,1227479,3,"6","target"
"1",18,-18.1,13.8,646,0,1232947,1,"c","centre"
"1",18,9.5,110.6,604,670,1233575,2,"0","blank"
"1",18,204.7,113.8,708,1308,1234317,3,"2","target"
"1",19,-17.9,16.1,16,0,1237317,1,"c","centre"
"1",19,-16.5,19.3,1018,234,1238553,2,"c","centre"
"1",19,3.20000000000005,-177,220,1300,1238821,3,"6","target"
"1",19,-24.3,-252.9,454,1542,1239297,4,"6","target"
"1",20,-15.1,0.399999999999977,24,0,1242789,1,"c","centre"
"1",20,-32.7,-83,684,46,1243495,2,"c","centre"
"1",20,-12,56.3,312,764,1243841,3,"c","centre"
"1",20,23.6,49.3,192,1088,1244045,4,"c","centre"
"1",20,-233.8,-92,612,1334,1244711,5,"5","target"
"1",21,-11.2,19.8,452,0,1250925,1,"c","centre"
"1",21,18.5,10.6,232,712,1251417,2,"c","centre"
"1",21,-11.9,16.7,242,960,1251675,3,"c","centre"
"1",21,-236.6,-98.4,384,1252,1252109,4,"5","target"
"1",21,-258.7,-113.3,402,1654,1252529,5,"5","target"
"1",22,-15.3,8.29999999999995,334,0,1255975,1,"c","centre"
"1",22,82.4000000000001,56.9,234,542,1256417,2,"0","blank"
"1",22,-12.8,21.3,438,798,1256877,3,"c","centre"
"1",22,215.6,-103.5,456,1284,1257381,4,"1","target"
"1",23,-17.7,17.7,1222,0,1265693,1,"c","centre"
"1",23,-186.7,124.8,196,1260,1265927,2,"4","target"
"1",23,-234,137,450,1474,1266395,3,"4","target"
"1",24,-18.7,18.6,40,0,1270277,1,"c","centre"
"1",24,-18.8,24.3,1074,232,1271543,2,"c","centre"
"1",24,-225.2,-60.8,170,1342,1271749,3,"5","target"
"1",24,-251.7,-107.3,458,1532,1272227,4,"5","target"
"1",25,-6,29.7,1136,0,1276319,1,"c","centre"
"1",25,-241.3,-96.3,830,1188,1277201,2,"5","target"
"1",26,4.29999999999995,-0.5,126,0,1288465,1,"c","centre"
"1",26,-24.9,2,216,272,1288827,2,"c","centre"
"1",26,0.700000000000045,1,412,496,1289247,3,"c","centre"
"1",26,23.5,105.2,290,942,1289571,4,"0","blank"
"1",26,221.9,-120.6,674,1274,1290287,5,"1","target"
"1",27,-7.60000000000002,11.9,1242,0,1297551,1,"c","centre"
"1",27,-214.5,119.4,582,1296,1298187,2,"4","target"
"1",28,-1.89999999999998,8,1260,0,1302451,1,"c","centre"
"1",28,204,81.7,272,1300,1302763,2,"2","target"
"1",28,213.7,101.4,314,1580,1303085,3,"2","target"
"1",29,-3.79999999999995,2.5,1148,0,1309247,1,"c","centre"
"1",29,141.3,-198.1,138,1188,1309425,2,"d6","distracter"
"1",29,-19.2,252.5,628,1386,1310113,3,"3","target"
"1",30,-3.20000000000005,29.7,1158,0,1315847,1,"c","centre"
"1",30,120.7,-190,108,1208,1316005,2,"d6","distracter"
"1",30,-4.29999999999995,-234.1,350,1342,1316381,3,"6","target"
"1",31,-4.20000000000005,11.8,1270,0,1321079,1,"c","centre"
"1",31,-228.7,-103.6,316,1320,1321445,2,"5","target"
"1",31,-248.7,-119.5,502,1656,1321967,3,"5","target"
"1",32,-8.39999999999998,2.20000000000005,82,0,1324907,1,"c","centre"
"1",32,-10.6,-0.600000000000023,456,260,1325541,2,"c","centre"
"1",32,0.700000000000045,8,322,948,1326095,3,"c","centre"
"1",32,209.5,82.3,246,1310,1326381,4,"2","target"
"1",32,206.9,102.2,442,1566,1326833,5,"2","target"
"1",33,-4.60000000000002,4.60000000000002,1272,0,1332099,1,"c","centre"
"1",33,-140,-167.7,144,1308,1332279,2,"d5","distracter"
"1",33,-217.1,102.2,262,1506,1332595,3,"4","target"
"1",33,193.6,96,254,1820,1332901,4,"2","blank"
"1",33,-203.9,134.1,454,2132,1333413,5,"4","target"
"1",34,-20.1,-9.79999999999995,266,0,1337031,1,"c","centre"
"1",34,-12,8.10000000000002,830,284,1337879,2,"c","centre"
"1",34,-270.5,19,172,1164,1338101,3,"d4","distracter"
"1",34,-236,130.5,496,1362,1338623,4,"4","target"
"1",35,-8,16.7,1238,0,1343433,1,"c","centre"
"1",35,201,76.2,172,1276,1343643,2,"2","target"
"1",35,212.1,116.1,504,1462,1344161,3,"2","target"
"1",36,-8.60000000000002,3.89999999999998,18,0,1346745,1,"c","centre"
"1",36,-1.60000000000002,9,1070,242,1348039,2,"c","centre"
"1",36,10.6,-227.9,228,1364,1348319,3,"6","target"
"1",36,12,-265.6,450,1602,1348779,4,"6","target"
"1",37,0.399999999999977,8.70000000000005,1244,0,1354975,1,"c","centre"
"1",37,220.5,-80.9,186,1288,1355205,2,"1","target"
"1",37,230.2,-109.2,250,1486,1355467,3,"1","target"
"1",38,-2.29999999999995,7.5,1140,0,1359521,1,"c","centre"
"1",38,-12.5,182.8,144,1178,1359703,2,"3","target"
"1",38,0.600000000000023,247.1,576,1340,1360297,3,"3","target"
"1",39,-2.5,-2,84,0,1363331,1,"c","centre"
"1",39,-2.70000000000005,10.4,1134,100,1364481,2,"c","centre"
"1",39,228.8,-94.4,272,1278,1364797,3,"1","target"
"1",39,243.4,-113.7,580,1568,1365395,4,"1","target"
"1",40,-11.8,24,796,0,1369089,1,"c","centre"
"1",40,2.29999999999995,40.2,226,1014,1369533,2,"c","centre"
"1",40,8.39999999999998,-204.6,224,1292,1369809,3,"6","target"
"1",40,-2.5,-256.6,372,1540,1370205,4,"6","target"
"1",41,-6.60000000000002,8.29999999999995,102,0,1373947,1,"c","centre"
"1",41,3.10000000000002,37,22,276,1374143,2,"c","centre"
"1",41,-4.5,-4,300,306,1374451,3,"c","centre"
"1",41,-6.60000000000002,19.2,772,614,1375231,4,"c","centre"
"1",41,-219.6,-60.2,176,1436,1375457,5,"5","target"
"1",41,-238.4,-108.4,596,1634,1376075,6,"5","target"
"1",42,-8.89999999999998,-3.70000000000005,18,0,1379715,1,"c","centre"
"1",42,-8.5,8.5,1068,202,1380967,2,"c","centre"
"1",42,-104.2,153.9,206,1308,1381211,3,"d3","distracter"
"1",42,-19.2,228.5,210,1534,1381441,4,"3","target"
"1",43,-6.89999999999998,5.89999999999998,1318,0,1387017,1,"c","centre"
"1",43,10.9,159.4,134,1356,1387189,2,"3","target"
"1",43,-10.2,241.9,478,1510,1387687,3,"3","target"
"1",44,-8.70000000000005,17.3,68,0,1391551,1,"c","centre"
"1",44,-20.4,26.3,242,76,1391801,2,"c","centre"
"1",44,-4.79999999999995,10.5,922,524,1392929,3,"c","centre"
"1",44,226.5,-125.4,982,1482,1393947,4,"1","target"
"1",45,-6.60000000000002,14,1188,0,1398735,1,"c","centre"
"1",45,-230.8,15.2,202,1222,1398971,2,"d4","distracter"
"1",45,-8.29999999999995,-216.6,266,1476,1399289,3,"6","target"
"1",45,-2.29999999999995,-250.4,848,1752,1400147,4,"6","target"
"1",46,-1,2.89999999999998,1068,0,1405081,1,"c","centre"
"1",46,243.9,-9.70000000000005,158,1102,1405273,2,"d1","distracter"
"1",46,209.7,106,954,1284,1406251,3,"2","target"
"1",47,-10.4,-0.299999999999955,1246,0,1412745,1,"c","centre"
"1",47,-105.4,128,174,1284,1412957,2,"d3","distracter"
"1",47,-234.2,132.7,614,1490,1413603,3,"4","target"
"1",48,0.200000000000045,1.20000000000005,1078,0,1419067,1,"c","centre"
"1",48,-250.6,-1.10000000000002,158,1126,1419273,2,"d4","distracter"
"1",48,-230.7,124.2,654,1314,1419957,3,"4","target"
"1",49,5.89999999999998,16.7,1344,0,1427195,1,"c","centre"
"1",49,10.5,198.4,158,1384,1427393,2,"3","target"
"1",49,2.70000000000005,246.1,440,1560,1427851,3,"3","target"
"1",50,-8.20000000000005,21.2,486,0,1431947,1,"c","centre"
"1",50,-9.5,6.70000000000005,490,694,1432645,2,"c","centre"
"1",50,-168.9,66.8,212,1220,1432893,3,"4","target"
"1",50,-225.6,117.2,802,1450,1433713,4,"4","target"
"1",51,-9,22.8,1278,0,1472119,1,"c","centre"
"1",51,9.10000000000002,-202.5,234,1314,1472389,2,"6","target"
"1",51,-2.29999999999995,-253.6,740,1566,1473147,3,"6","target"
"1",52,-1.10000000000002,16.2,1120,0,1478835,1,"c","centre"
"1",52,118.8,146.6,154,1162,1479031,2,"d2","distracter"
"1",52,238.2,-125.6,546,1368,1479629,3,"1","target"
"1",53,-1.10000000000002,1,1134,0,1484241,1,"c","centre"
"1",53,138.8,-181.7,218,1172,1484497,2,"d6","distracter"
"1",53,208.4,130.2,746,1448,1485301,3,"2","target"
"1",54,-16.3,10.4,130,0,1488805,1,"c","centre"
"1",54,-3.79999999999995,14.6,916,334,1489925,2,"c","centre"
"1",54,234.5,-10,166,1284,1490125,3,"d1","distracter"
"1",54,222.7,-104.6,528,1478,1490681,4,"1","target"
"1",55,1.29999999999995,-6.39999999999998,1430,0,1495005,1,"c","centre"
"1",55,2.29999999999995,-207.8,162,1468,1495205,2,"6","target"
"1",56,-7.79999999999995,-7.29999999999995,110,0,1498869,1,"c","centre"
