"observer","trial","x","y","dur","onset","offset","n","aoi","aoi2"
"1",56,-5.60000000000002,0.799999999999955,424,306,1499489,2,"c","centre"
"1",56,0.200000000000045,38,22,940,1499721,3,"c","centre"
"1",56,-6.89999999999998,0.299999999999955,300,972,1500031,4,"c","centre"
"1",56,-253.2,8,122,1324,1500205,5,"d4","distracter"
"1",56,232.8,-125.2,290,1504,1500553,6,"1","target"
"1",57,-5.70000000000005,0.399999999999977,1182,0,1504621,1,"c","centre"
"1",57,-186,-59.7,148,1216,1504803,2,"5","target"
"1",57,-233.1,-118.1,356,1386,1505181,3,"5","target"
"1",58,-3.60000000000002,-5.10000000000002,1372,0,1509583,1,"c","centre"
"1",58,-1.5,210.3,198,1424,1509833,2,"3","target"
"1",58,-2,234.5,502,1634,1510347,3,"3","target"
"1",59,-2.29999999999995,-0.299999999999955,1232,0,1518883,1,"c","centre"
"1",59,99.8,141.7,124,1272,1519047,2,"d2","distracter"
"1",59,2.10000000000002,-282.6,666,1456,1519773,3,"6","target"
"1",60,-4.70000000000005,-0.799999999999955,1286,0,1524249,1,"c","centre"
"1",60,225.3,-99.1,250,1320,1524533,2,"1","target"
"1",60,233.7,-119.9,664,1580,1525207,3,"1","target"
"1",61,-3.10000000000002,-4.5,1236,0,1529747,1,"c","centre"
"1",61,137.8,-220.4,114,1286,1529911,2,"d6","distracter"
"1",61,195.6,133.4,244,1458,1530213,3,"2","target"
"1",61,208.9,106.7,344,1714,1530569,4,"2","target"
"1",62,-2.10000000000002,-2.60000000000002,1242,0,1535121,1,"c","centre"
"1",62,-112.3,139.6,146,1280,1535305,2,"d3","distracter"
"1",62,-2.29999999999995,235.7,668,1450,1535997,3,"3","target"
"1",63,-1.79999999999995,6.20000000000005,1362,0,1540677,1,"c","centre"
"1",63,-215.8,-90.9,254,1416,1540985,2,"5","target"
"1",63,-228.2,-105.4,432,1680,1541427,3,"5","target"
"1",64,-1.20000000000005,-3.10000000000002,332,0,1544929,1,"c","centre"
"1",64,4.29999999999995,-0.600000000000023,748,520,1545865,2,"c","centre"
"1",64,82.9000000000001,156.1,186,1308,1546091,3,"d2","distracter"
"1",64,13.4,217,226,1514,1546337,4,"3","target"
"1",64,5.70000000000005,236.6,422,1750,1546769,5,"3","target"
"1",65,0.200000000000045,-2,1272,0,1552603,1,"c","centre"
"1",65,12.5,-219.9,198,1322,1552851,2,"6","target"
"1",65,2.39999999999998,-251.2,312,1530,1553173,3,"6","target"
"1",66,2.60000000000002,2,1180,0,1557785,1,"c","centre"
"1",66,-177.1,76.2,148,1216,1557969,2,"4","target"
"1",66,-210.5,103.8,594,1378,1558577,3,"4","target"
"1",67,-13.7,19.4,204,0,1561859,1,"c","centre"
"1",67,1.60000000000002,1.20000000000005,1024,212,1562891,2,"c","centre"
"1",67,215.7,-89.8,190,1270,1563115,3,"1","target"
"1",67,235.5,-116.6,238,1474,1563367,4,"1","target"
"1",68,1.10000000000002,-1.89999999999998,1166,0,1567493,1,"c","centre"
"1",68,-186.9,-67.2,156,1198,1567681,2,"5","target"
"1",68,-231,-123,554,1376,1568257,3,"5","target"
"1",69,3,-10.9,1316,0,1572331,1,"c","centre"
"1",69,3.20000000000005,141.2,150,1356,1572521,2,"0","blank"
"1",69,8.20000000000005,227.6,350,1528,1572893,3,"3","target"
"1",70,0.399999999999977,11.7,1308,0,1577317,1,"c","centre"
"1",70,24.2,-174.2,126,1356,1577491,2,"6","target"
"1",70,-4.79999999999995,-256.9,736,1506,1578251,3,"6","target"
"1",71,6,-6.10000000000002,1236,0,1583799,1,"c","centre"
"1",71,100.6,136.3,204,1276,1584043,2,"d2","distracter"
"1",71,219.2,104.4,852,1504,1584919,3,"2","target"
"1",72,8.29999999999995,-3,50,0,1587689,1,"c","centre"
"1",72,8.29999999999995,0.700000000000045,264,282,1588185,2,"c","centre"
"1",72,7.5,-15.4,674,730,1589043,3,"c","centre"
"1",72,8.39999999999998,124,152,1440,1589231,4,"0","blank"
"1",72,10.7,230.8,616,1614,1589869,5,"3","target"
"1",73,8.39999999999998,-2.20000000000005,1296,0,1596131,1,"c","centre"
"1",73,-101.9,-158.4,118,1346,1596299,2,"d5","distracter"
"1",73,10.9,-250.2,278,1490,1596603,3,"6","target"
"1",73,-4.89999999999998,-265.6,480,1776,1597091,4,"6","target"
"1",74,8,-11,130,0,1600767,1,"c","centre"
"1",74,9,20.8,22,348,1601007,2,"c","centre"
"1",74,5.79999999999995,-9.5,948,378,1601963,3,"c","centre"
"1",74,-168.2,-58,148,1360,1602145,4,"5","target"
"1",74,-235.7,-115.8,394,1530,1602561,5,"5","target"
"1",75,7.60000000000002,1.29999999999995,444,0,1607545,1,"c","centre"
"1",75,5.89999999999998,0.200000000000045,632,636,1608369,2,"c","centre"
"1",75,-152.6,94.4,182,1308,1608591,3,"4","target"
"1",75,-213.3,99.4,220,1508,1608829,4,"4","target"
"1",75,-228.5,102.2,322,1736,1609159,5,"4","target"
"1",76,2,-17.2,1254,0,1613441,1,"c","centre"
"1",76,-215,-81.8,202,1290,1613679,2,"5","target"
"1",76,-232.1,-112.5,388,1508,1614083,3,"5","target"
"1",77,2.79999999999995,43.1,12,0,1617345,1,"c","centre"
"1",77,-4.89999999999998,-13.6,338,22,1617693,2,"c","centre"
"1",77,7.60000000000002,-6.70000000000005,670,590,1618593,3,"c","centre"
"1",77,227.4,-129.6,704,1294,1619331,4,"1","target"
"1",78,8.29999999999995,-4.60000000000002,1406,0,1624069,1,"c","centre"
"1",78,28,-233.6,196,1448,1624307,2,"6","target"
"1",78,12.3,-245.5,320,1652,1624635,3,"6","target"
"1",79,22.6,10.3,1280,0,1630069,1,"c","centre"
"1",79,-173.3,-65.2,166,1316,1630271,2,"5","target"
"1",79,-203,-110.4,442,1502,1630733,3,"5","target"
"1",80,8.39999999999998,-9.5,1318,0,1637065,1,"c","centre"
"1",80,-196.3,-108.8,178,1368,1637293,2,"5","target"
"1",81,10.8,13.1,1176,0,1642269,1,"c","centre"
"1",81,248.1,-11.4,176,1212,1642481,2,"d1","distracter"
"1",81,224.4,-121.5,658,1418,1643169,3,"1","target"
"1",82,9.29999999999995,-7.10000000000002,1262,0,1648419,1,"c","centre"
"1",82,10.2,-253.2,794,1296,1649247,2,"6","target"
"1",83,7.89999999999998,-4.39999999999998,820,0,1655843,1,"c","centre"
"1",83,9.70000000000005,-2.29999999999995,630,910,1656563,2,"c","centre"
"1",83,222.8,-108.9,302,1570,1656895,3,"1","target"
"1",83,243.9,-133.1,480,1884,1657387,4,"1","target"
"1",84,5.89999999999998,-11.4,1428,0,1662271,1,"c","centre"
"1",84,21.7,-221.1,168,1464,1662475,2,"6","target"
"1",84,4.60000000000002,-259.6,882,1652,1663377,3,"6","target"
"1",85,11.9,2.5,1258,0,1668299,1,"c","centre"
"1",85,-183.6,97.6,126,1290,1668457,2,"4","target"
"1",85,-218.2,128.6,386,1434,1668861,3,"4","target"
"1",86,2.20000000000005,-5,1278,0,1673941,1,"c","centre"
"1",86,23.9,-207.8,150,1326,1674139,2,"6","target"
"1",86,8.10000000000002,-252.2,214,1496,1674373,3,"6","target"
"1",87,1.89999999999998,-1.70000000000005,1296,0,1679073,1,"c","centre"
"1",87,-123.5,53.7,140,1322,1679239,2,"0","blank"
"1",87,-219.8,105.8,288,1484,1679549,3,"4","target"
"1",88,0.799999999999955,6.89999999999998,694,0,1683349,1,"c","centre"
"1",88,8.5,-0.299999999999955,242,904,1683801,2,"c","centre"
"1",88,224.6,-114.2,488,1192,1684335,3,"1","target"
"1",89,7.39999999999998,10.7,1272,0,1689617,1,"c","centre"
"1",89,168.2,96.1,198,1308,1689851,2,"2","target"
"1",89,216.3,112.7,472,1522,1690339,3,"2","target"
"1",90,0.299999999999955,-11.1,1276,0,1694287,1,"c","centre"
"1",90,192.9,-83.3,220,1308,1694539,2,"1","target"
"1",90,229,-118.8,524,1546,1695081,3,"1","target"
"1",91,5.89999999999998,-3.10000000000002,1296,0,1700061,1,"c","centre"
"1",91,14.1,-255.9,834,1340,1700939,2,"6","target"
"1",92,6.20000000000005,0.899999999999977,1354,0,1706433,1,"c","centre"
"1",92,-217.4,96.1,194,1396,1706669,2,"4","target"
"1",92,-216.9,113.6,268,1600,1706947,3,"4","target"
"1",93,-0.799999999999955,5.70000000000005,1262,0,1711493,1,"c","centre"
"1",93,192.6,79.7,172,1302,1711705,2,"2","target"
"1",93,212.3,93.5,410,1484,1712125,3,"2","target"
"1",94,3.20000000000005,-2.60000000000002,1160,0,1716647,1,"c","centre"
"1",94,81.8,115.1,148,1198,1716833,2,"0","blank"
"1",94,-203.6,-102.7,374,1402,1717263,3,"5","target"
"1",95,15.2,1.79999999999995,1196,0,1721421,1,"c","centre"
"1",95,229.3,-89.1,362,1230,1721817,2,"1","target"
"1",95,236.6,-110.7,310,1600,1722135,3,"1","target"
"1",96,9,-7.10000000000002,138,0,1725987,1,"c","centre"
"1",96,11.3,2.60000000000002,900,340,1727089,2,"c","centre"
"1",96,-84.2,146.3,168,1268,1727285,3,"d3","distracter"
"1",96,5,217.5,418,1458,1727725,4,"3","target"
"1",97,12.7,-1.20000000000005,1164,0,1731855,1,"c","centre"
"1",97,-172.1,77.3,172,1202,1732065,2,"4","target"
"1",97,-208,102.6,200,1388,1732279,3,"4","target"
"1",98,20.5,-19.8,1218,0,1737467,1,"c","centre"
"1",98,200.4,69.9,178,1258,1737685,2,"2","target"
"1",98,215.3,87,416,1448,1738113,3,"2","target"
"1",99,8.89999999999998,-7.89999999999998,1274,0,1742275,1,"c","centre"
"1",99,196.8,76.9,520,1314,1742835,2,"2","target"
"1",100,18.1,-4.10000000000002,1224,0,1746607,1,"c","centre"
"1",100,213.4,88.1,250,1264,1746897,2,"2","target"
"1",100,223.9,90.3,322,1522,1747227,3,"2","target"
"1",101,0.299999999999955,15.1,890,0,1759975,1,"c","centre"
"1",102,6.60000000000002,8.29999999999995,1270,0,1768171,1,"c","centre"
"1",102,239.7,-108.8,510,1306,1768717,2,"1","target"
"1",103,-8.60000000000002,-2.39999999999998,472,0,1772535,1,"c","centre"
"1",103,0.100000000000023,-5.89999999999998,612,654,1773329,2,"c","centre"
"1",103,4.20000000000005,197.3,194,1306,1773563,3,"3","target"
"1",103,3.60000000000002,227.3,514,1512,1774089,4,"3","target"
"1",104,7.39999999999998,5.89999999999998,1266,0,1781371,1,"c","centre"
"1",104,3.20000000000005,187.5,152,1304,1781561,2,"3","target"
"1",104,20.1,243.6,304,1474,1781883,3,"3","target"
"1",105,7,2.10000000000002,1276,0,1786847,1,"c","centre"
"1",105,-177.6,56.3,140,1312,1787023,2,"4","target"
"1",105,-209.1,96.8,198,1466,1787235,3,"4","target"
"1",105,-220.6,102.3,296,1672,1787539,4,"4","target"
"1",106,11.6,-8.79999999999995,1200,0,1792161,1,"c","centre"
"1",106,10.9,148.8,148,1238,1792347,2,"0","blank"
"1",106,11.9,235.4,264,1408,1792633,3,"3","target"
"1",107,8.29999999999995,-5.20000000000005,1412,0,1798815,1,"c","centre"
"1",107,8.89999999999998,-230.4,254,1460,1799117,2,"6","target"
"1",107,13,-261.6,404,1726,1799533,3,"6","target"
"1",108,22.2,-16.8,398,0,1804821,1,"c","centre"
"1",108,21.8,-1.70000000000005,668,586,1805677,2,"c","centre"
"1",108,203.3,32.2,292,1290,1806005,3,"d1","blank"
"1",108,10,1.5,432,1612,1806467,4,"c","centre"
"1",109,1.5,-0.600000000000023,1116,0,1813535,1,"c","centre"
"1",109,-133.9,-199,126,1168,1813713,2,"d5","distracter"
"1",109,9.60000000000002,-268.1,820,1336,1814575,3,"6","target"
"1",110,5.5,3.29999999999995,1388,0,1819331,1,"c","centre"
"1",110,218.5,-106.7,240,1424,1819607,2,"1","target"
"1",110,233.1,-126.1,864,1674,1820481,3,"1","target"
"1",111,12.4,-8,1270,0,1825979,1,"c","centre"
"1",111,224.5,-107,234,1304,1826247,2,"1","target"
"1",111,244.7,-121.9,694,1548,1826951,3,"1","target"
"1",112,14.6,-4,1202,0,1832233,1,"c","centre"
"1",112,7.39999999999998,186.8,160,1242,1832433,2,"3","target"
"1",112,0.799999999999955,238.2,562,1422,1833015,3,"3","target"
"1",113,12.8,-3.39999999999998,476,0,1836603,1,"c","centre"
"1",113,12.6,-4.89999999999998,616,632,1837375,2,"c","centre"
"1",113,233.4,-106.2,368,1286,1837781,3,"1","target"
"1",113,243.6,-132.6,560,1664,1838351,4,"1","target"
"1",114,12.8,-3.70000000000005,1130,0,1843653,1,"c","centre"
"1",114,254.1,-22.8,156,1164,1843843,2,"d1","distracter"
"1",114,239.5,-116.5,544,1348,1844415,3,"1","target"
"1",115,14.2,-23.1,1254,0,1849043,1,"c","centre"
"1",115,114.7,101.9,190,1292,1849271,2,"0","blank"
"1",115,234.6,96.8,540,1508,1849837,3,"2","target"
"1",116,8.70000000000005,-16.2,258,0,1853377,1,"c","centre"
"1",116,11.3,-14.4,914,428,1854461,2,"c","centre"
"1",116,216.4,65.7,186,1380,1854685,3,"2","target"
"1",116,222.7,87.8,482,1576,1855177,4,"2","target"
"1",117,19.5,-5,230,0,1858591,1,"c","centre"
"1",117,18.3,1.60000000000002,450,418,1859229,2,"c","centre"
"1",117,39.2,112.1,332,890,1859583,3,"0","blank"
"1",117,20.8,245.4,462,1246,1860069,4,"3","target"
"1",118,22.5,6.89999999999998,302,0,1863813,1,"c","centre"
"1",118,16.4,-7.60000000000002,802,498,1864811,2,"c","centre"
"1",118,-183.5,22.4,136,1332,1864979,3,"d4","distracter"
"1",118,-200.2,88.4,552,1488,1865551,4,"4","target"
"1",119,13.7,-10.6,1212,0,1869701,1,"c","centre"
"1",119,216.3,63.1,162,1250,1869901,2,"2","target"
"1",120,14.3,-12.9,1152,0,1875323,1,"c","centre"
"1",120,182.7,61.8,170,1190,1875531,2,"2","target"
