observer,trial,x,y,dur,onset,offset,n
1,34,724,409.5,496,1362,1338623,4
1,35,952,523.3,1238,0,1343433,1
1,35,1161,463.8,172,1276,1343643,2
1,35,1172.1,423.9,504,1462,1344161,3
1,36,951.4,536.1,18,0,1346745,1
1,36,958.4,531,1070,242,1348039,2
1,36,970.6,767.9,228,1364,1348319,3
1,36,972,805.6,450,1602,1348779,4
1,37,960.4,531.3,1244,0,1354975,1
1,37,1180.5,620.9,186,1288,1355205,2
1,37,1190.2,649.2,250,1486,1355467,3
1,38,957.7,532.5,1140,0,1359521,1
1,38,947.5,357.2,144,1178,1359703,2
1,38,960.6,292.9,576,1340,1360297,3
1,39,957.5,542,84,0,1363331,1
1,39,957.3,529.6,1134,100,1364481,2
1,39,1188.8,634.4,272,1278,1364797,3
1,39,1203.4,653.7,580,1568,1365395,4
1,40,948.2,516,796,0,1369089,1
1,40,962.3,499.8,226,1014,1369533,2
1,40,968.4,744.6,224,1292,1369809,3
1,40,957.5,796.6,372,1540,1370205,4
1,41,953.4,531.7,102,0,1373947,1
1,41,963.1,503,22,276,1374143,2
1,41,955.5,544,300,306,1374451,3
1,41,953.4,520.8,772,614,1375231,4
1,41,740.4,600.2,176,1436,1375457,5
1,41,721.6,648.4,596,1634,1376075,6
1,42,951.1,543.7,18,0,1379715,1
1,42,951.5,531.5,1068,202,1380967,2
1,42,855.8,386.1,206,1308,1381211,3
1,42,940.8,311.5,210,1534,1381441,4
1,43,953.1,534.1,1318,0,1387017,1
1,43,970.9,380.6,134,1356,1387189,2
1,43,949.8,298.1,478,1510,1387687,3
1,44,951.3,522.7,68,0,1391551,1
1,44,939.6,513.7,242,76,1391801,2
1,44,955.2,529.5,922,524,1392929,3
1,44,1186.5,665.4,982,1482,1393947,4
1,45,953.4,526,1188,0,1398735,1
1,45,729.2,524.8,202,1222,1398971,2
1,45,951.7,756.6,266,1476,1399289,3
1,45,957.7,790.4,848,1752,1400147,4
1,46,959,537.1,1068,0,1405081,1
1,46,1203.9,549.7,158,1102,1405273,2
1,46,1169.7,434,954,1284,1406251,3
1,47,949.6,540.3,1246,0,1412745,1
1,47,854.6,412,174,1284,1412957,2
1,47,725.8,407.3,614,1490,1413603,3
1,48,960.2,538.8,1078,0,1419067,1
1,48,709.4,541.1,158,1126,1419273,2
1,48,729.3,415.8,654,1314,1419957,3
1,49,965.9,523.3,1344,0,1427195,1
1,49,970.5,341.6,158,1384,1427393,2
1,49,962.7,293.9,440,1560,1427851,3
1,50,951.8,518.8,486,0,1431947,1
1,50,950.5,533.3,490,694,1432645,2
1,50,791.1,473.2,212,1220,1432893,3
1,50,734.4,422.8,802,1450,1433713,4
1,51,951,517.2,1278,0,1472119,1
1,51,969.1,742.5,234,1314,1472389,2
1,51,957.7,793.6,740,1566,1473147,3
1,52,958.9,523.8,1120,0,1478835,1
1,52,1078.8,393.4,154,1162,1479031,2
1,52,1198.2,665.6,546,1368,1479629,3
1,53,958.9,539,1134,0,1484241,1
1,53,1098.8,721.7,218,1172,1484497,2
1,53,1168.4,409.8,746,1448,1485301,3
1,54,943.7,529.6,130,0,1488805,1
1,54,956.2,525.4,916,334,1489925,2
1,54,1194.5,550,166,1284,1490125,3
1,54,1182.7,644.6,528,1478,1490681,4
1,55,961.3,546.4,1430,0,1495005,1
1,55,962.3,747.8,162,1468,1495205,2
1,56,952.2,547.3,110,0,1498869,1
1,56,954.4,539.2,424,306,1499489,2
1,56,960.2,502,22,940,1499721,3
1,56,953.1,539.7,300,972,1500031,4
1,56,706.8,532,122,1324,1500205,5
1,56,1192.8,665.2,290,1504,1500553,6
1,57,954.3,539.6,1182,0,1504621,1
1,57,774,599.7,148,1216,1504803,2
1,57,726.9,658.1,356,1386,1505181,3
1,58,956.4,545.1,1372,0,1509583,1
1,58,958.5,329.7,198,1424,1509833,2
1,58,958,305.5,502,1634,1510347,3
1,59,957.7,540.3,1232,0,1518883,1
1,59,1059.8,398.3,124,1272,1519047,2
1,59,962.1,822.6,666,1456,1519773,3
1,60,955.3,540.8,1286,0,1524249,1
1,60,1185.3,639.1,250,1320,1524533,2
1,60,1193.7,659.9,664,1580,1525207,3
1,61,956.9,544.5,1236,0,1529747,1
1,61,1097.8,760.4,114,1286,1529911,2
1,61,1155.6,406.6,244,1458,1530213,3
1,61,1168.9,433.3,344,1714,1530569,4
1,62,957.9,542.6,1242,0,1535121,1
1,62,847.7,400.4,146,1280,1535305,2
1,62,957.7,304.3,668,1450,1535997,3
1,63,958.2,533.8,1362,0,1540677,1
1,63,744.2,630.9,254,1416,1540985,2
1,63,731.8,645.4,432,1680,1541427,3
1,64,958.8,543.1,332,0,1544929,1
1,64,964.3,540.6,748,520,1545865,2
1,64,1042.9,383.9,186,1308,1546091,3
1,64,973.4,323,226,1514,1546337,4
1,64,965.7,303.4,422,1750,1546769,5
1,65,960.2,542,1272,0,1552603,1
1,65,972.5,759.9,198,1322,1552851,2
1,65,962.4,791.2,312,1530,1553173,3
1,66,962.6,538,1180,0,1557785,1
1,66,782.9,463.8,148,1216,1557969,2
1,66,749.5,436.2,594,1378,1558577,3
1,67,946.3,520.6,204,0,1561859,1
1,67,961.6,538.8,1024,212,1562891,2
1,67,1175.7,629.8,190,1270,1563115,3
1,67,1195.5,656.6,238,1474,1563367,4
1,68,961.1,541.9,1166,0,1567493,1
1,68,773.1,607.2,156,1198,1567681,2
1,68,729,663,554,1376,1568257,3
1,69,963,550.9,1316,0,1572331,1
1,69,963.2,398.8,150,1356,1572521,2
1,69,968.2,312.4,350,1528,1572893,3
1,70,960.4,528.3,1308,0,1577317,1
1,70,984.2,714.2,126,1356,1577491,2
1,70,955.2,796.9,736,1506,1578251,3
1,71,966,546.1,1236,0,1583799,1
1,71,1060.6,403.7,204,1276,1584043,2
1,71,1179.2,435.6,852,1504,1584919,3
1,72,968.3,543,50,0,1587689,1
1,72,968.3,539.3,264,282,1588185,2
1,72,967.5,555.4,674,730,1589043,3
1,72,968.4,416,152,1440,1589231,4
1,72,970.7,309.2,616,1614,1589869,5
1,73,968.4,542.2,1296,0,1596131,1
1,73,858.1,698.4,118,1346,1596299,2
1,73,970.9,790.2,278,1490,1596603,3
1,73,955.1,805.6,480,1776,1597091,4
1,74,968,551,130,0,1600767,1
1,74,969,519.2,22,348,1601007,2
1,74,965.8,549.5,948,378,1601963,3
1,74,791.8,598,148,1360,1602145,4
1,74,724.3,655.8,394,1530,1602561,5
1,75,967.6,538.7,444,0,1607545,1
1,75,965.9,539.8,632,636,1608369,2
1,75,807.4,445.6,182,1308,1608591,3
1,75,746.7,440.6,220,1508,1608829,4
1,75,731.5,437.8,322,1736,1609159,5
1,76,962,557.2,1254,0,1613441,1
1,76,745,621.8,202,1290,1613679,2
1,76,727.9,652.5,388,1508,1614083,3
1,77,962.8,496.9,12,0,1617345,1
1,77,955.1,553.6,338,22,1617693,2
1,77,967.6,546.7,670,590,1618593,3
1,77,1187.4,669.6,704,1294,1619331,4
1,78,968.3,544.6,1406,0,1624069,1
1,78,988,773.6,196,1448,1624307,2
1,78,972.3,785.5,320,1652,1624635,3
1,79,982.6,529.7,1280,0,1630069,1
1,79,786.7,605.2,166,1316,1630271,2
1,79,757,650.4,442,1502,1630733,3
1,80,968.4,549.5,1318,0,1637065,1
1,80,763.7,648.8,178,1368,1637293,2
1,81,970.8,526.9,1176,0,1642269,1
1,81,1208.1,551.4,176,1212,1642481,2
1,81,1184.4,661.5,658,1418,1643169,3
1,82,969.3,547.1,1262,0,1648419,1
1,82,970.2,793.2,794,1296,1649247,2
1,83,967.9,544.4,820,0,1655843,1
1,83,969.7,542.3,630,910,1656563,2
1,83,1182.8,648.9,302,1570,1656895,3
1,83,1203.9,673.1,480,1884,1657387,4
1,84,965.9,551.4,1428,0,1662271,1
1,84,981.7,761.1,168,1464,1662475,2
1,84,964.6,799.6,882,1652,1663377,3
1,85,971.9,537.5,1258,0,1668299,1
1,85,776.4,442.4,126,1290,1668457,2
1,85,741.8,411.4,386,1434,1668861,3
1,86,962.2,545,1278,0,1673941,1
1,86,983.9,747.8,150,1326,1674139,2
1,86,968.1,792.2,214,1496,1674373,3
1,87,961.9,541.7,1296,0,1679073,1
1,87,836.5,486.3,140,1322,1679239,2
1,87,740.2,434.2,288,1484,1679549,3
1,88,960.8,533.1,694,0,1683349,1
1,88,968.5,540.3,242,904,1683801,2
1,88,1184.6,654.2,488,1192,1684335,3
1,89,967.4,529.3,1272,0,1689617,1
1,89,1128.2,443.9,198,1308,1689851,2
1,89,1176.3,427.3,472,1522,1690339,3
1,90,960.3,551.1,1276,0,1694287,1
1,90,1152.9,623.3,220,1308,1694539,2
1,90,1189,658.8,524,1546,1695081,3
1,91,965.9,543.1,1296,0,1700061,1
1,91,974.1,795.9,834,1340,1700939,2
1,92,966.2,539.1,1354,0,1706433,1
1,92,742.6,443.9,194,1396,1706669,2
1,92,743.1,426.4,268,1600,1706947,3
1,93,959.2,534.3,1262,0,1711493,1
1,93,1152.6,460.3,172,1302,1711705,2
1,93,1172.3,446.5,410,1484,1712125,3
1,94,963.2,542.6,1160,0,1716647,1
1,94,1041.8,424.9,148,1198,1716833,2
1,94,756.4,642.7,374,1402,1717263,3
1,95,975.2,538.2,1196,0,1721421,1
1,95,1189.3,629.1,362,1230,1721817,2
1,95,1196.6,650.7,310,1600,1722135,3
1,96,969,547.1,138,0,1725987,1
1,96,971.3,537.4,900,340,1727089,2
1,96,875.8,393.7,168,1268,1727285,3
1,96,965,322.5,418,1458,1727725,4
1,97,972.7,541.2,1164,0,1731855,1
1,97,787.9,462.7,172,1202,1732065,2
1,97,752,437.4,200,1388,1732279,3
1,98,980.5,559.8,1218,0,1737467,1
1,98,1160.4,470.1,178,1258,1737685,2
1,98,1175.3,453,416,1448,1738113,3
1,99,968.9,547.9,1274,0,1742275,1
1,99,1156.8,463.1,520,1314,1742835,2
1,100,978.1,544.1,1224,0,1746607,1
1,100,1173.4,451.9,250,1264,1746897,2
1,100,1183.9,449.7,322,1522,1747227,3
1,101,960.3,524.9,890,0,1759975,1
1,102,966.6,531.7,1270,0,1768171,1
1,102,1199.7,648.8,510,1306,1768717,2
1,103,951.4,542.4,472,0,1772535,1
1,103,960.1,545.9,612,654,1773329,2
1,103,964.2,342.7,194,1306,1773563,3
1,103,963.6,312.7,514,1512,1774089,4
1,104,967.4,534.1,1266,0,1781371,1
1,104,963.2,352.5,152,1304,1781561,2
1,104,980.1,296.4,304,1474,1781883,3
1,105,967,537.9,1276,0,1786847,1
1,105,782.4,483.7,140,1312,1787023,2
1,105,750.9,443.2,198,1466,1787235,3
1,105,739.4,437.7,296,1672,1787539,4
1,106,971.6,548.8,1200,0,1792161,1
1,106,970.9,391.2,148,1238,1792347,2
1,106,971.9,304.6,264,1408,1792633,3
1,107,968.3,545.2,1412,0,1798815,1
1,107,968.9,770.4,254,1460,1799117,2
1,107,973,801.6,404,1726,1799533,3
1,108,982.2,556.8,398,0,1804821,1
1,108,981.8,541.7,668,586,1805677,2
1,108,1163.3,507.8,292,1290,1806005,3
1,108,970,538.5,432,1612,1806467,4
1,109,961.5,540.6,1116,0,1813535,1
1,109,826.1,739,126,1168,1813713,2
1,109,969.6,808.1,820,1336,1814575,3
1,110,965.5,536.7,1388,0,1819331,1
1,110,1178.5,646.7,240,1424,1819607,2
1,110,1193.1,666.1,864,1674,1820481,3
1,111,972.4,548,1270,0,1825979,1
1,111,1184.5,647,234,1304,1826247,2
1,111,1204.7,661.9,694,1548,1826951,3
1,112,974.6,544,1202,0,1832233,1
1,112,967.4,353.2,160,1242,1832433,2
1,112,960.8,301.8,562,1422,1833015,3
1,113,972.8,543.4,476,0,1836603,1
1,113,972.6,544.9,616,632,1837375,2
1,113,1193.4,646.2,368,1286,1837781,3
1,113,1203.6,672.6,560,1664,1838351,4
1,114,972.8,543.7,1130,0,1843653,1
1,114,1214.1,562.8,156,1164,1843843,2
1,114,1199.5,656.5,544,1348,1844415,3
1,115,974.2,563.1,1254,0,1849043,1
1,115,1074.7,438.1,190,1292,1849271,2
1,115,1194.6,443.2,540,1508,1849837,3
1,116,968.7,556.2,258,0,1853377,1
1,116,971.3,554.4,914,428,1854461,2
1,116,1176.4,474.3,186,1380,1854685,3
1,116,1182.7,452.2,482,1576,1855177,4
1,117,979.5,545,230,0,1858591,1
1,117,978.3,538.4,450,418,1859229,2
1,117,999.2,427.9,332,890,1859583,3
1,117,980.8,294.6,462,1246,1860069,4
1,118,982.5,533.1,302,0,1863813,1
1,118,976.4,547.6,802,498,1864811,2
1,118,776.5,517.6,136,1332,1864979,3
1,118,759.8,451.6,552,1488,1865551,4
1,119,973.7,550.6,1212,0,1869701,1
1,119,1176.3,476.9,162,1250,1869901,2
1,120,974.3,552.9,1152,0,1875323,1
1,120,1142.7,478.2,170,1190,1875531,2
1,120,1197.4,452.9,538,1380,1876089,3
1,121,976.8,541.8,1296,0,1880261,1
1,121,989.5,779,246,1346,1880557,2
1,121,975,804.2,458,1602,1881025,3
1,122,976.8,549.6,1356,0,1886875,1
1,122,1195.7,658.7,560,1392,1887471,2
1,123,988.7,566.5,62,0,1891189,1
1,123,983.2,552.1,272,70,1891469,2
1,123,983.2,536.7,706,548,1892381,3
1,123,1220,553.3,152,1288,1892567,4
1,123,1194.4,450.9,764,1464,1893355,5
1,124,977.3,534.4,1076,0,1897457,1
1,124,972,516.4,82,1264,1897727,2
1,124,1189.3,448.4,596,1384,1898361,3
1,125,967.2,527.8,254,0,1901307,1
1,125,1090.3,501.2,314,278,1901645,2
1,125,1028.6,512.8,632,608,1902293,3
1,125,982.4,371.2,144,1278,1902475,4
1,125,978.4,297.1,422,1444,1902919,5
1,126,981,540.3,510,0,1906675,1
1,126,972.5,530.9,578,696,1907439,2
1,126,808.1,461.8,140,1310,1907615,3
1,126,763.6,435.1,514,1464,1908143,4
1,127,979.5,532.8,1254,0,1914543,1
1,127,766.7,623.9,166,1294,1914749,2
1,127,742.1,660.2,298,1478,1915065,3
1,128,982.2,543.1,1220,0,1919881,1
1,128,892.8,405.8,144,1250,1920055,2
1,128,980.3,322.4,460,1416,1920537,3
1,129,971.7,543.1,1236,0,1926397,1
1,129,761.6,455.1,204,1274,1926639,2
1,129,737.4,443.4,602,1488,1927251,3
1,130,974,539.7,1242,0,1932529,1
1,130,1063.8,383.7,180,1284,1932751,2
1,130,759.4,416.9,530,1518,1933335,3
1,131,979.8,546.4,1306,0,1938381,1
1,131,774.2,449.5,168,1346,1938589,2
1,131,739.6,425.2,460,1530,1939065,3
1,132,975.8,537.6,1302,0,1944201,1
1,132,1196.3,444.1,1026,1342,1945267,2
1,133,972.5,540.4,1384,0,1952425,1
1,133,1214.1,654.4,560,1422,1953023,2
1,134,976.1,540.2,1326,0,1958205,1
1,134,992.3,740.1,138,1364,1958381,2
1,134,979.3,802.4,748,1522,1959149,3
1,135,976.2,538.9,1418,0,1964025,1
1,135,981,705.2,114,1464,1964185,2
1,135,973.4,808.4,822,1602,1965031,3
1,136,975.4,547.4,1356,0,1970477,1
1,136,1186.9,622.7,136,1392,1970649,2
1,136,1212.8,663.2,758,1546,1971425,3
1,137,979.8,553.5,1336,0,1975541,1
1,137,984.2,782.8,206,1390,1975801,2
1,137,971.7,799.2,408,1606,1976219,3
1,138,980.6,539.1,1308,0,1982683,1
1,138,1212.2,543.9,134,1344,1982853,2
1,138,992.9,324.7,212,1526,1983113,3
1,138,983.2,301.3,580,1748,1983703,4
1,139,979.8,545.3,1252,0,1989777,1
1,139,779.5,595.7,166,1290,1989981,2
1,139,743.4,666.8,1184,1476,1991185,3
1,140,979.8,530.9,1286,0,1998695,1
1,140,1178.3,511,156,1324,1998889,2
1,140,1188.3,455.7,306,1498,1999213,3
1,140,1194.8,446.6,888,1812,2000109,4
1,141,980,548.5,1274,0,2005883,1
1,141,1162.3,463.7,164,1314,2006087,2
1,141,1190.1,448.6,666,1490,2006765,3
1,142,976.6,543.4,1330,0,2011789,1
1,142,1192.9,661.3,282,1366,2012107,2
1,142,1208.9,673.8,548,1658,2012665,3
1,143,980.4,551,1192,0,2017341,1
1,143,776.3,627.7,162,1230,2017541,2
1,143,754.4,667.1,554,1412,2018115,3
1,144,982,554.3,1304,0,2022483,1
1,144,996.4,747.6,136,1342,2022657,2
1,144,983,797.2,454,1496,2023129,3
