"observer","thought","congC","medianDwell","nTrials"
1,"no","incongruent",148,1
1,"yes","congruent",152,47
1,"yes","incongruent",151,52
2,"no","congruent",132,29
2,"no","incongruent",144,30
2,"yes","congruent",123,68
2,"yes","incongruent",124,75
3,"no","congruent",131,4
3,"yes","congruent",106,61
3,"yes","incongruent",104,65
5,"no","congruent",144,25
5,"no","incongruent",156,27
5,"yes","congruent",150,85
5,"yes","incongruent",155,82
6,"no","congruent",142,29
6,"no","incongruent",167,30
6,"yes","congruent",134,48
6,"yes","incongruent",128,43
7,"no","congruent",120,20
7,"no","incongruent",120,27
7,"yes","congruent",76,3
7,"yes","incongruent",72,3
8,"no","incongruent",74,1
8,"yes","congruent",139,72
8,"yes","incongruent",148,74
9,"no","congruent",192,7
9,"no","incongruent",332,2
9,"yes","congruent",150,88
9,"yes","incongruent",137,93
10,"no","congruent",162,17
10,"no","incongruent",148,20
10,"yes","congruent",121,19
10,"yes","incongruent",110,18
12,"no","congruent",179,1
12,"no","incongruent",144,5
12,"yes","congruent",152.5,102
12,"yes","incongruent",162.5,96
13,"no","congruent",183,16
13,"no","incongruent",241,18
13,"yes","congruent",104,17
13,"yes","incongruent",102,19
14,"no","congruent",184.5,28
14,"no","incongruent",169,47
14,"yes","congruent",155,89
14,"yes","incongruent",157,75
15,"no","congruent",133,22
15,"no","incongruent",152,17
15,"yes","congruent",121,19
15,"yes","incongruent",117,30
16,"no","incongruent",270.5,2
16,"yes","congruent",106,55
16,"yes","incongruent",108,49
17,"no","congruent",133.5,46
17,"no","incongruent",151,27
17,"yes","congruent",122.5,26
17,"yes","incongruent",102,16
18,"no","congruent",172.5,24
18,"no","incongruent",124,22
18,"yes","congruent",112,38
18,"yes","incongruent",116,23
19,"no","congruent",449,73
19,"no","incongruent",352.5,72
19,"yes","congruent",156.5,36
19,"yes","incongruent",173,23
20,"no","congruent",257.5,6
20,"no","incongruent",190,10
20,"yes","congruent",169,67
20,"yes","incongruent",161,66
21,"no","congruent",111.5,10
21,"no","incongruent",112,14
21,"yes","congruent",102.5,22
21,"yes","incongruent",89,18
