"observer","trial","x","y","dur","onset","n","aoi","aoi2"
"1",1,1,-19.5,1319,0,1,"c","centre"
"1",1,164.2,-80.1,351,388,2,"1","target"
"1",2,-5.79999999999995,-13.6,1401,0,1,"c","centre"
"1",2,-11.7,200.3,337,372,2,"3","centre"
"1",2,-6,243.3,772,1160,3,"3","centre"
"1",3,7.20000000000005,-3.29999999999995,2377,0,1,"c","centre"
"1",4,2.10000000000002,-3.10000000000002,247,0,1,"c","centre"
"1",4,-1,86.4,395,418,2,"c","centre"
"1",4,6.70000000000005,207.4,565,1007,3,"3","blank"
"1",4,202.7,-166.9,599,1653,4,"1","target"
"1",5,10.5,-9.10000000000002,1275,0,1,"c","centre"
"1",5,40.8,-314.2,807,856,2,"6","target"
"1",6,9.79999999999995,-5.79999999999995,1285,0,1,"c","centre"
"1",6,101.5,-173.2,107,140,2,"d6","distracter"
"1",6,-207.5,-135.6,93,283,3,"5","target"
"1",7,-7.89999999999998,-11,1233,0,1,"c","centre"
"1",7,-257.1,-8.39999999999998,164,201,2,"d4","distracter"
"1",7,227.1,-134.3,425,684,3,"1","target"
"1",8,-3.39999999999998,-14.7,1246,0,1,"c","centre"
"1",8,-187.9,60,141,175,2,"4","target"
"1",8,-238.9,113.9,379,576,3,"4","target"
"1",9,-3.79999999999995,-5.20000000000005,1219,0,1,"c","centre"
"1",9,224.1,-157.3,538,575,2,"1","target"
"1",10,17.7,-27.2,475,0,1,"c","centre"
"1",10,-10,7.89999999999998,726,743,2,"c","centre"
"1",10,-270.5,-7.39999999999998,137,915,3,"d4","distracter"
"1",10,-236.9,-152.6,411,1356,4,"5","target"
"1",11,7.89999999999998,-13.3,1221,0,1,"c","centre"
"1",11,263.5,-34.8,115,150,2,"d1","distracter"
"1",11,-15.5,225.3,319,527,3,"3","target"
"1",11,-7.60000000000002,251.8,112,653,4,"3","target"
"1",12,3.89999999999998,-6.20000000000005,1231,0,1,"c","centre"
"1",12,-221.9,-93,450,487,2,"5","target"
"1",13,-4.60000000000002,2.5,390,0,1,"c","centre"
"1",13,17,-153.3,23,50,2,"0","blank"
"1",13,-9.60000000000002,-9.5,758,847,3,"c","centre"
"1",13,218,-148.7,409,1295,4,"1","target"
"1",14,-11.5,-20.6,1988,0,1,"c","centre"
"1",15,-11.6,-14.6,1221,0,1,"c","centre"
"1",15,237.9,-24.2,107,142,2,"d1","distracter"
"1",15,-34.4,235.8,403,588,3,"3","target"
"1",15,-23.4,249,274,872,4,"3","target"
"1",16,-20.9,-9,1193,0,1,"c","centre"
"1",16,-240.2,107.4,1193,1230,2,"4","target"
"1",17,-9.39999999999998,-4.60000000000002,244,0,1,"c","centre"
"1",17,-17.4,-25.8,819,1009,2,"c","centre"
"1",17,14.3,-296.4,465,1511,3,"6","centre"
"1",17,6.39999999999998,-325.3,814,2335,4,"6","centre"
"1",18,-4.89999999999998,-35.9,1273,0,1,"c","centre"
"1",18,-120.8,-208.6,109,139,2,"d5","distracter"
"1",18,211.4,121.7,853,1039,3,"2","target"
"1",19,-12.1,-24.9,563,0,1,"c","centre"
"1",19,-26.3,-10.2,666,674,2,"c","centre"
"1",19,3.89999999999998,-299.4,189,900,3,"6","centre"
"1",19,13.5,-351.2,1202,2119,4,"6","centre"
"1",20,-22.5,-16.4,1220,0,1,"c","centre"
"1",20,-240.6,-107.4,531,564,2,"5","target"
"1",21,-12.9,-14.1,1215,0,1,"c","centre"
"1",21,-227.3,-110.9,516,549,2,"5","target"
"1",22,-12.5,-18.9,1244,0,1,"c","centre"
"1",22,202.1,-137.2,376,413,2,"1","target"
"1",23,-15.4,-31.3,1217,0,1,"c","centre"
"1",23,-150.8,132.6,260,293,2,"4","centre"
"1",23,-254.9,120.6,1020,1336,3,"4","centre"
"1",24,-23.7,-30.5,1310,0,1,"c","centre"
"1",24,-228.6,-126.7,254,292,2,"5","target"
"1",24,-258.5,-154,183,490,3,"5","target"
"1",25,-20.6,-34.1,1190,0,1,"c","centre"
"1",25,-266.8,-156.9,576,615,2,"5","target"
"1",26,-20.2,-22.7,1227,0,1,"c","centre"
"1",26,146.9,-154,172,198,2,"d6","distracter"
"1",26,229.5,-156.2,354,573,3,"1","target"
"1",27,-28.8,-8.39999999999998,1230,0,1,"c","centre"
"1",27,-205,104.5,207,241,2,"4","target"
"1",27,-260.8,111,462,719,3,"4","target"
"1",28,-27.3,-10.9,1418,0,1,"c","centre"
"1",28,174.7,105.9,235,278,2,"2","target"
"1",28,194.4,121.1,172,460,3,"2","target"
"1",29,-18.6,-25.5,1270,0,1,"c","centre"
"1",29,-32.8,190.9,180,221,2,"3","centre"
"1",29,-30.3,250.3,1046,1291,3,"3","centre"
"1",30,-23.9,-4.20000000000005,1228,0,1,"c","centre"
"1",30,74.3,-295.1,168,214,2,"6","centre"
"1",30,11.3,-320.6,944,1176,3,"6","centre"
"1",31,-20.5,-14,1194,0,1,"c","centre"
"1",31,-247.5,-151.1,287,332,2,"5","target"
"1",31,-257.4,-135.9,501,841,3,"5","target"
