observer,trial,x,y,dur,n
19,1,956.7,576.2,1427,1
19,1,811.8,459.5,197,2
19,2,961.4,554.4,1211,1
19,2,730.9,438.5,80,2
19,2,837.6,503.3,72,3
19,2,714.9,390.8,120,4
19,3,965.7,553.7,1216,1
19,3,923.6,371.6,26,2
19,3,762.7,713.7,122,3
19,4,964.1,551.9,1217,1
19,4,1036.5,331.4,84,2
19,4,732.4,424.1,660,3
19,5,962.5,558.2,1219,1
19,6,968.2,553.5,1199,1
19,6,677.7,563.6,143,2
19,7,962.6,541.8,1223,1
19,8,958.7,547.9,1201,1
19,9,962.8,548.1,1205,1
19,9,880.7,305.2,130,2
19,10,980.3,545.9,1215,1
19,10,775.4,394.1,139,2
19,10,752.8,402.7,630,3
19,11,975.7,551,1221,1
19,11,1184.9,430.1,735,2
19,12,979,545.8,1211,1
19,12,769.1,618.9,110,2
19,12,755.8,669.2,647,3
19,13,972.2,549.3,1213,1
19,13,983.1,801.5,739,2
19,14,977,546.3,1192,1
19,14,980.5,798.8,746,2
19,15,978.8,543.7,1198,1
19,15,1187.9,435.5,733,2
19,16,957.6,546,1196,1
19,16,1179.1,422.9,755,2
19,17,963,557.7,329,1
19,17,963.5,547.2,875,2
19,17,894.9,300.9,130,3
19,17,968.9,308.8,596,4
19,18,969.9,557.6,84,1
19,18,973.8,549.2,1105,2
19,18,1191.7,422,753,3
19,19,979,547.6,1196,1
19,19,902.9,792.8,96,2
19,19,986,792.5,633,3
19,20,966,556.3,1210,1
19,20,1059.6,316.7,163,2
19,20,1086,332.3,566,3
19,21,958.9,557.7,1242,1
19,21,753.8,405.8,128,2
19,21,733.5,423.4,619,3
19,22,969.3,555.8,1222,1
19,22,1100.1,746.7,86,2
19,22,1182.3,381.3,158,3
19,22,1179.8,421.1,449,4
19,23,970,561.5,1188,1
19,23,746.7,417.1,730,2
19,24,983.2,550.6,554,1
19,24,974.4,542.2,661,2
19,24,967.4,302.1,720,3
19,24,822.3,365.6,12,4
19,25,971.3,554,338,1
19,25,978.9,476.3,132,2
19,25,975,527,702,3
19,25,727.3,664.5,133,4
19,25,747.4,663.6,560,5
19,26,977.4,549.9,1205,1
19,26,1195.4,672.3,736,2
19,27,975.5,560.8,313,1
19,27,987.8,551,218,2
19,27,981.9,540.3,663,3
19,27,752.6,658.1,720,4
19,28,961.5,555.4,37,1
19,28,961.6,554.3,1166,2
19,28,1198.1,674.8,707,3
19,29,974.1,556.7,1216,1
19,29,728.9,427.8,136,2
19,29,747.8,428.3,567,3
19,30,974.1,546.3,1223,1
19,30,986.1,779.6,709,2
19,31,967.3,540.7,1200,1
19,31,752.3,429.2,735,2
19,32,959.1,545.2,1200,1
19,32,743.3,425.4,743,2
19,33,959.3,548,1218,1
19,33,1174.8,422,713,2
19,34,966.2,563.6,1214,1
19,34,776.4,452.4,64,2
19,34,744.5,416.3,626,3
19,35,982.7,546.3,1189,1
19,35,760.2,379.2,115,2
19,35,753.4,419.7,657,3
19,36,969.8,553.9,35,1
19,36,974.6,556,1176,2
19,36,1131.3,578,67,3
19,36,1183.4,392,115,4
19,36,1193.5,427.2,493,5
19,37,979.9,549.2,1202,1
19,37,987.5,804.8,750,2
19,38,982.9,550.8,1211,1
19,38,1200.1,659.8,719,2
19,39,972.2,554.7,1198,1
19,39,743.7,664.8,765,2
19,40,979,543.1,1204,1
19,40,1189.2,673.5,717,2
19,41,981.9,556.1,1213,1
19,41,757.7,419.2,726,2
19,42,971.7,550.5,1204,1
