observer, trial, targLoc, distLoc, targDiscrim, thoughtNoAttCap
1, 1, 1, 0, 1, 1
1, 2, 3, 0, 1, 1
1, 3, 1, 0, 0, 1
1, 4, 5, 0, -1, -1
1, 5, 3, 5, -1, -1
1, 6, 4, 0, 1, 1
1, 7, 2, 4, -1, -1
1, 8, 6, 0, 1, 1
1, 9, 5, 0, 1, 1
1, 10, 5, 0, 1, 1
1, 11, 5, 0, 1, 1
1, 12, 2, 0, 1, 1
1, 13, 5, 0, 1, 1
1, 14, 3, 0, 1, 1
1, 15, 1, 0, 1, 1
1, 16, 6, 0, -1, -1
1, 17, 5, 2, -1, -1
1, 18, 6, 5, -1, -1
1, 19, 4, 6, -1, -1
1, 20, 4, 1, -1, -1
1, 21, 3, 5, -1, -1
1, 22, 4, 0, 1, 1
1, 23, 2, 5, -1, -1
1, 24, 1, 1, 1, 1
1, 25, 3, 0, 1, 1
1, 26, 1, 0, 0, 1
1, 27, 3, 1, -1, -1
1, 28, 6, 0, 1, 1
1, 29, 4, 3, -1, -1
1, 30, 1, 0, 1, 1
1, 31, 2, 1, 0, 1
1, 32, 6, 6, 1, 1
1, 33, 5, 3, 1, 1
1, 34, 4, 6, 1, 1
1, 35, 6, 4, 0, 1
1, 36, 5, 0, 1, 1
1, 37, 6, 5, 1, 1
1, 38, 6, 4, -1, -1
1, 39, 4, 0, -1, -1
1, 40, 6, 6, 1, 1
1, 41, 1, 0, 1, 1
1, 42, 2, 1, 1, 1
1, 43, 5, 4, -1, -1
1, 44, 1, 0, -1, -1
1, 45, 2, 3, 1, 1
1, 46, 1, 0, 0, 1
1, 47, 3, 0, 0, 1
1, 48, 4, 0, 1, 1
1, 49, 6, 3, -1, -1
1, 50, 1, 1, -1, -1
1, 51, 4, 1, -1, -1
1, 52, 2, 0, -1, -1
1, 53, 2, 2, -1, -1
1, 54, 1, 4, 1, 1
1, 55, 2, 0, 0, 1
1, 56, 4, 0, 1, 1
1, 57, 5, 0, 1, 1
1, 58, 1, 0, 1, 1
1, 59, 6, 0, 1, 1
1, 60, 5, 0, 1, 1
1, 61, 2, 6, -1, -1
1, 62, 2, 0, 1, 1
1, 63, 5, 0, 0, 1
1, 64, 1, 5, -1, -1
1, 65, 4, 0, 0, 1
1, 66, 4, 5, 1, 1
1, 67, 3, 4, -1, -1
1, 68, 5, 0, 1, 1
1, 69, 2, 0, 1, 1
1, 70, 5, 4, -1, -1
1, 71, 4, 1, -1, -1
1, 72, 5, 0, 0, 1
1, 73, 4, 6, -1, -1
1, 74, 1, 0, 1, 1
1, 75, 2, 5, -1, -1
1, 76, 3, 6, -1, -1
1, 77, 3, 0, 1, 1
1, 78, 3, 0, 1, 1
1, 79, 1, 2, 0, 1
1, 80, 1, 0, 1, 1
1, 81, 1, 6, -1, -1
1, 82, 3, 2, -1, -1
1, 83, 3, 6, -1, -1
1, 84, 3, 0, 1, 1
1, 85, 6, 0, 1, 1
1, 86, 6, 0, 1, 1
1, 87, 6, 1, 1, 1
1, 88, 1, 3, -1, -1
1, 89, 1, 0, 1, 1
1, 90, 2, 5, -1, -1
1, 91, 6, 0, 1, 1
1, 92, 6, 0, 1, 1
1, 93, 1, 0, 1, 1
1, 94, 2, 0, 1, 1
1, 95, 1, 5, 1, 1
1, 96, 3, 2, 1, 1
1, 97, 2, 0, 1, 1
1, 98, 4, 4, -1, -1
1, 99, 2, 3, -1, -1
1, 100, 6, 0, 1, 1
1, 101, 2, 6, -1, -1
1, 102, 5, 1, 1, 1
1, 103, 2, 0, 1, 1
1, 104, 6, 6, 1, 1
1, 105, 6, 2, 1, 1
1, 106, 4, 3, 1, 1
1, 107, 3, 0, 1, 1
1, 108, 3, 4, 1, 1
1, 109, 6, 0, 1, 1
1, 110, 1, 4, 1, 1
1, 111, 5, 0, 1, 1
1, 112, 6, 0, 0, 1
1, 113, 3, 1, 1, 1
1, 114, 5, 1, 1, 1
1, 115, 6, 3, -1, -1
1, 116, 5, 4, -1, -1
1, 117, 2, 0, 1, 1
1, 118, 1, 0, 1, 1
1, 119, 6, 0, 1, 1
1, 120, 1, 3, 1, 1
1, 121, 3, 0, 1, 1
1, 122, 3, 0, 1, 1
1, 123, 5, 3, 0, 1
1, 124, 2, 4, 1, 1
1, 125, 3, 0, 1, 1
1, 126, 2, 0, 1, 1
1, 127, 5, 5, -1, -1
1, 128, 6, 4, -1, -1
1, 129, 5, 5, -1, -1
1, 130, 6, 0, 1, 1
1, 131, 3, 0, 1, 1
1, 132, 5, 1, -1, -1
1, 133, 3, 0, 1, 1
1, 134, 2, 1, -1, -1
1, 135, 2, 0, 1, 1
1, 136, 3, 4, -1, -1
1, 137, 1, 4, 0, 1
1, 138, 4, 0, 0, 1
1, 139, 4, 2, 1, 1
1, 140, 5, 6, 0, 1
1, 141, 2, 0, 1, 1
1, 142, 6, 1, 1, 1
1, 143, 3, 3, -1, -1
1, 144, 2, 0, 1, 1
1, 145, 5, 0, 1, 1
1, 146, 1, 6, 1, 1
1, 147, 4, 0, 1, 1
1, 148, 4, 0, 1, 1
1, 149, 3, 5, -1, -1
1, 150, 2, 6, 1, 1
1, 151, 6, 0, -1, -1
1, 152, 4, 0, 1, 1
1, 153, 5, 6, 1, 1
1, 154, 4, 5, 0, 1
1, 155, 1, 0, 0, 1
1, 156, 1, 0, 1, 1
1, 157, 1, 2, 1, 1
1, 158, 5, 0, 1, 1
1, 159, 1, 6, 1, 1
1, 160, 3, 2, -1, -1
1, 161, 6, 2, -1, -1
1, 162, 4, 0, 1, 1
1, 163, 4, 0, 1, 1
1, 164, 1, 1, 1, 1
1, 165, 1, 5, 1, 1
1, 166, 4, 0, 1, 1
1, 167, 4, 3, 1, 1
1, 168, 4, 2, 0, 1
1, 169, 5, 0, 0, 1
1, 170, 4, 2, 1, 1
1, 171, 6, 0, -1, -1
1, 172, 2, 3, 1, 1
1, 173, 4, 0, 1, 1
1, 174, 6, 0, 1, 1
1, 175, 1, 0, 1, 1
1, 176, 2, 2, -1, -1
1, 177, 4, 0, 1, 1
1, 178, 5, 2, -1, -1
1, 179, 2, 0, 1, 1
1, 180, 5, 0, 1, 1
1, 181, 6, 1, 0, 1
1, 182, 3, 0, 1, 1
1, 183, 2, 0, 1, 1
1, 184, 3, 0, 1, 1
1, 185, 1, 3, -1, -1
1, 186, 3, 1, -1, -1
1, 187, 3, 0, 1, 1
1, 188, 2, 0, 1, 1
1, 189, 3, 0, 1, 1
1, 190, 6, 5, -1, -1
1, 191, 5, 0, 1, 1
1, 192, 3, 3, -1, -1
1, 193, 4, 5, -1, -1
1, 194, 5, 5, -1, -1
1, 195, 6, 0, 1, 1
1, 196, 4, 4, 1, 1
1, 197, 4, 4, 1, 1
1, 198, 6, 0, 1, 1
1, 199, 1, 0, 1, 1
1, 200, 3, 6, 1, 1
1, 201, 5, 0, 1, 1
1, 202, 4, 0, 1, 1
1, 203, 6, 3, 1, 1
1, 204, 5, 2, -1, -1
1, 205, 2, 2, -1, -1
1, 206, 5, 3, -1, -1
1, 207, 3, 3, -1, -1
1, 208, 6, 2, 1, 1
1, 209, 2, 0, 1, 1
1, 210, 1, 2, 1, 1
1, 211, 2, 4, 1, 1
1, 212, 5, 6, -1, -1
1, 213, 2, 0, 1, 1
1, 214, 3, 0, 1, 1
1, 215, 4, 0, 1, 1
1, 216, 4, 0, 1, 1
