observer,trial,x,y,dur,n
1,1,956,567.4,1261,1
1,1,1204.3,668.6,173,2
1,2,957.7,550.7,1308,1
1,2,953.6,379.6,106,2
1,3,964.7,563.9,663,1
1,3,953.6,367,337,2
1,3,956.3,548,288,3
1,3,1162.5,694.2,202,4
1,4,955.1,558.9,1307,1
1,5,954.9,569.9,1227,1
1,5,1194.4,567.3,669,2
1,6,945.1,566.7,1265,1
1,7,944.3,565.6,1375,1
1,7,819.9,755.8,98,2
1,8,951.9,561.4,1369,1
1,9,948.6,570,1293,1
1,10,962.5,550.5,346,1
1,10,946.2,562.5,935,2
1,10,752,665.2,153,3
1,10,721.9,688,541,4
1,11,951.5,568.4,1253,1
1,11,742.8,662,157,2
1,12,950.8,567.2,1240,1
1,12,1189.2,480.1,142,2
1,13,947.7,570.4,1252,1
1,13,739.5,685.6,165,2
1,14,949.4,562.4,1289,1
1,14,955.3,405.1,109,2
1,15,946.9,559.3,1330,1
1,16,948.1,570.6,1351,1
1,16,961.4,756.6,126,2
1,17,943.5,569.4,1393,1
1,17,736.1,688.2,175,2
1,18,946,566.9,1234,1
1,18,728.1,591.7,274,2
1,18,988.8,820.7,183,3
1,19,941.8,573.1,1227,1
1,19,800.2,425.1,264,2
1,20,953.6,571.7,1357,1
1,20,744.1,510.9,107,2
1,20,744.4,458.8,186,3
1,21,951.4,564,1248,1
1,21,1186.8,568.7,140,2
1,21,948.4,357.3,178,3
1,22,949.1,570.3,1237,1
1,22,723,482.2,154,2
1,22,732.5,454.5,587,3
1,23,946.4,570.7,329,1
1,23,967.6,432,226,2
1,23,948.3,590,278,3
1,23,952.1,574.6,356,4
1,23,1063.7,727,128,5
1,24,947.5,565.2,1222,1
1,24,1205.8,585.3,237,2
1,25,946.3,566.4,1258,1
1,25,956.2,368.8,138,2
1,25,956.1,324.3,527,3
1,26,944.5,558.7,1267,1
1,26,1161.5,661.3,152,2
1,26,1184.6,688.8,509,3
1,27,952.7,561.3,1234,1
1,27,856.9,401,143,2
1,28,943.5,559,242,1
1,28,945.6,387.2,186,2
1,28,954.3,556.7,775,3
1,28,955.8,755.5,142,4
1,29,953.9,551.1,271,1
1,29,951.2,426.1,179,2
1,29,957,543.5,705,3
1,29,1082.4,772,161,4
1,29,764.6,466.1,147,5
1,29,728,444,395,6
1,30,959.4,549.2,594,1
1,30,950.8,569.6,637,2
1,30,1190.1,687.2,737,3
1,31,953.7,569,1230,1
1,31,1103.9,425.3,167,2
1,32,943.1,560,1248,1
1,32,900.6,740.6,144,2
1,33,947.3,568.5,1468,1
1,33,737.4,686.9,187,2
1,34,951.4,569.4,1370,1
1,35,999.5,542.1,1556,1
1,36,968.9,556.4,1410,1
1,37,955.1,562,1244,1
1,37,713,578.8,119,2
1,37,979.2,798.8,172,3
1,37,948,806.8,377,4
1,38,954.4,564.1,1242,1
1,38,850.6,422.2,202,2
1,38,960.4,856.6,125,3
1,38,954,819.6,340,4
1,39,950.7,568.2,1242,1
1,39,727.1,470.4,173,2
1,40,952.4,564.4,574,1
1,40,955,689.4,665,2
1,40,953.8,788.6,208,3
1,40,954.8,807.5,498,4
1,41,957.4,547.9,480,1
1,41,938.6,773,248,2
1,41,968,512.3,496,3
1,41,1178.2,666.8,688,4
1,42,947.2,559.8,1221,1
1,42,1106.6,418.7,143,2
1,43,952.7,553.7,1232,1
1,43,1077.4,405.1,316,2
1,43,740.8,694.6,191,3
1,43,715.4,693,192,4
1,44,955.2,561.8,1240,1
1,45,946.9,567.9,559,1
1,45,951.2,774.3,435,2
1,45,948.7,579.2,233,3
1,45,1175.6,467,697,4
1,46,952.5,554.8,1240,1
1,46,1161.6,676.1,166,2
1,46,1175.6,693.2,572,3
1,47,954.1,563.2,1255,1
1,47,967.6,401.4,127,2
1,47,960.9,344.5,587,3
1,48,965.7,534.4,409,1
1,48,952.5,552.6,834,2
1,48,737.5,481.1,138,3
1,49,950.8,565.1,1257,1
1,49,1079.3,424,233,2
1,49,966,764.9,155,3
1,49,949.1,812.1,245,4
1,50,949.3,572.3,1228,1
1,50,1199.3,584.5,337,2
1,50,1162.4,677,360,3
1,51,951.3,573.6,1230,1
1,51,687.8,567.7,133,2
1,51,730.1,455.3,465,3
1,52,949.5,568.2,1225,1
1,53,951.4,567.3,1236,1
1,53,819.5,403.5,196,2
1,53,1168.6,473.1,459,3
1,54,951.3,569.5,1410,1
1,54,1164.4,720.3,154,2
1,55,949.5,570.9,1238,1
1,55,1177.5,489.6,156,2
1,56,950,569.2,1244,1
1,56,710.7,452.4,664,2
1,57,943.8,561,347,1
1,57,951.3,570.4,916,2
