observer, trial, targLoc, distLoc, targDiscrim, thoughtNoAttCap, tc, dc, RT, TrialTypeRT
5, 1, 1, 3, 0, -1, -1, -1, 1.465059, 4.595452
5, 2, 5, 0, 1, 1, -1, 0, 1.021772, 0.986642
5, 4, 2, 3, 0, 1, -1, 1, 1.250786, 1.495516
5, 6, 3, 0, 1, 1, -1, 0, 0.650582, 1.034052
5, 7, 6, 1, 0, -1, -1, 1, 1.279471, 1.070611
5, 8, 1, 1, 1, 1, -1, -1, 0.881962, 1.177542
5, 9, 3, 0, 1, 1, -1, 0, 1.406658, 0.636477
5, 10, 1, 4, 1, -1, 1, -1, 1.222874, 1.597528
5, 11, 1, 5, 1, 1, 1, -1, 0.511976, 0.905735
5, 12, 4, 0, 1, 1, -1, 0, 0.675783, 0.995412
5, 13, 6, 0, 0, -1, 1, 0, 0.773037, 1.170476
5, 14, 3, 6, 1, 1, -1, 1, 1.027963, 0.684396
5, 15, 4, 2, 1, -1, -1, -1, 0.670410, 0.610408
5, 16, 5, 1, 1, 1, 1, -1, 0.790083, 0.591250
5, 17, 3, 0, 0, 3, 1, 0, 0.516832, 0.719798
5, 18, 6, 4, 0, -1, 1, 1, 0.636045, 1.712272
5, 19, 4, 0, 1, 1, -1, 0, 0.920566, 0.836703
5, 20, 2, 0, 1, 1, 1, 0, 0.492090, 0.528258
5, 21, 3, 4, 1, -1, 1, 1, 0.991527, 0.450971
5, 22, 5, 1, 1, 1, 1, 1, 0.664151, 0.850871
5, 1, 2, 1, 1, 1, 1, -1, 0.466461, 0.478565
5, 2, 2, 0, 1, -1, -1, 0, 0.641948, 0.390873
5, 3, 3, 4, 1, -1, -1, -1, 1.033697, 0.397718
5, 4, 4, 1, 1, 1, -1, -1, 0.701722, 0.290217
5, 5, 1, 4, 1, 1, 1, 1, 0.532269, 0.598033
5, 6, 2, 2, 0, -1, -1, -1, 0.705177, 1.054723
5, 7, 3, 0, 1, 3, 1, 0, 0.635155, 0.813770
5, 8, 2, 3, 1, 1, 1, -1, 0.520936, 0.864716
5, 9, 1, 0, 1, 1, 1, 0, 0.503984, 0.516027
5, 10, 3, 2, 0, 3, -1, 1, 0.634657, 1.545183
5, 11, 6, 0, 0, -1, -1, 0, 0.604341, 1.965713
5, 12, 2, 4, 0, -1, -1, 1, 0.501719, 1.361808
5, 13, 2, 1, 1, -1, -1, 1, 0.710686, 0.947450
5, 14, 6, 6, 1, -1, 1, -1, 0.707659, 0.695137
5, 15, 4, 0, 1, 1, 1, 0, 0.635290, 0.450035
5, 16, 5, 4, 1, -1, 1, -1, 0.941858, 1.270571
5, 17, 6, 0, 0, -1, -1, 0, 0.555104, 2.539960
5, 18, 6, 5, 1, 1, 1, -1, 0.708171, 0.921604
5, 19, 2, 0, 1, 1, 1, 0, 0.496146, 0.722309
5, 20, 4, 2, 1, -1, 1, 1, 0.616314, 0.595733
5, 21, 4, 4, 1, -1, 1, -1, 0.687351, 0.511454
5, 22, 6, 2, 1, -1, 1, 1, 0.766278, 0.899614
5, 23, 6, 6, 1, 1, 1, 1, 0.673526, 0.588366
5, 24, 1, 0, 1, 1, 1, 0, 0.483676, 0.541658
5, 25, 4, 5, 1, 1, -1, 1, 0.530664, 0.733473
5, 26, 6, 0, 1, 1, 1, 0, 0.450379, 0.555752
5, 27, 1, 6, 1, 1, -1, 1, 0.577614, 0.444360
5, 28, 6, 3, 1, 1, 1, -1, 0.665080, 0.684478
5, 29, 3, 4, 1, 1, 1, -1, 0.680159, 0.835825
5, 30, 4, 4, 1, 1, -1, 1, 0.527919, 0.337264
5, 31, 1, 5, 1, 1, 1, 1, 0.446152, 0.399883
5, 32, 5, 3, 1, 1, -1, 1, 0.596670, 0.365272
5, 33, 3, 0, 1, 1, 1, 0, 0.600896, 0.239894
