"","observer","trial","x","y","dur","onset","offset","n","aoi","aoi2"
"57","1",23,-213.3,122.9,730,220,1167142,2,"4","target"
"58","1",24,23.2,-10.6,554,-554,1171715,1,"c","centre"
"59","1",24,14.4,-2.20000000000005,661,9,1172385,2,"c","centre"
"60","1",24,7.39999999999998,237.9,720,711,1173146,3,"3","target"
"61","1",24,-137.7,174.4,12,1474,1173201,4,"d3","blank"
"62","1",25,11.3,-14,338,-338,1176700,1,"c","centre"
"63","1",25,18.9,63.7,132,24,1176856,2,"c","centre"
"64","1",25,15,13,702,170,1177572,3,"c","centre"
"65","1",25,-232.7,-124.5,133,915,1177748,4,"5","target"
"66","1",25,-212.6,-123.6,560,1067,1178327,5,"5","target"
"67","1",26,17.4,-9.89999999999998,1205,-1016,1182566,1,"c","centre"
"68","1",26,235.4,-132.3,736,226,1183339,2,"1","target"
"69","1",27,15.5,-20.8,313,-313,1186519,1,"c","centre"
"70","1",27,27.8,-11,218,9,1186746,2,"c","centre"
"71","1",27,21.9,-0.299999999999955,663,236,1187418,3,"c","centre"
"72","1",27,-207.4,-118.1,720,941,1188180,4,"5","target"
"73","1",28,1.5,-15.4,37,-37,1192851,1,"c","centre"
"74","1",28,1.60000000000002,-14.3,1166,10,1194027,2,"c","centre"
"75","1",28,238.1,-134.8,707,1214,1194772,3,"1","target"
"76","1",29,14.1,-16.7,1216,-1013,1198948,1,"c","centre"
"77","1",29,-231.1,112.2,136,243,1199124,2,"4","target"
"78","1",29,-212.2,111.7,567,389,1199701,3,"4","target"
"79","1",30,14.1,-6.29999999999995,1223,-1021,1203948,1,"c","centre"
"80","1",30,26.1,-239.6,709,241,1204696,2,"6","target"
"81","1",31,7.29999999999995,-0.700000000000045,1200,-1015,1209065,1,"c","centre"
"82","1",31,-207.7,110.8,735,229,1209844,2,"4","target"
"83","1",32,-0.899999999999977,-5.20000000000005,1200,-1014,1215066,1,"c","centre"
"84","1",32,-216.7,114.6,743,225,1215848,2,"4","target"
"85","1",33,-0.700000000000045,-8,1218,-1013,1220352,1,"c","centre"
"86","1",33,214.8,118,713,244,1221104,2,"2","target"
"87","1",34,6.20000000000005,-23.6,1214,-1014,1225498,1,"c","centre"
"88","1",34,-183.6,87.6,64,239,1225601,2,"4","target"
"89","1",34,-215.5,123.7,626,325,1226249,3,"4","target"
"90","1",35,22.7,-6.29999999999995,1189,-1014,1231524,1,"c","centre"
"91","1",35,-199.8,160.8,115,220,1231684,2,"4","target"
"92","1",35,-206.6,120.3,657,348,1232354,3,"4","target"
"93","1",36,9.79999999999995,-13.9,35,-35,1236599,1,"c","centre"
"94","1",36,14.6,-16,1176,14,1237789,2,"c","centre"
"95","1",36,171.3,-38,67,1220,1237886,3,"d1","blank"
"96","1",36,223.4,148,115,1321,1238035,4,"2","target"
"97","1",36,233.5,112.8,493,1448,1238540,5,"2","target"
"98","1",37,19.9,-9.20000000000005,1202,-1014,1257906,1,"c","centre"
"99","1",37,27.5,-264.8,750,230,1258698,2,"6","target"
"100","1",38,22.9,-10.8,1211,-1013,1263266,1,"c","centre"
"101","1",38,240.1,-119.8,719,237,1264024,2,"1","target"
"102","1",39,12.2,-14.7,1198,-1014,1268553,1,"c","centre"
"103","1",39,-216.3,-124.8,765,224,1269358,2,"5","target"
"104","1",40,19,-3.10000000000002,1204,-1013,1274560,1,"c","centre"
"105","1",40,229.2,-133.5,717,229,1275315,2,"1","target"
"106","1",41,21.9,-16.1,1213,-1014,1279786,1,"c","centre"
"107","1",41,-202.3,120.8,726,234,1280547,2,"4","target"
"108","1",42,11.7,-10.5,1204,-1022,1284686,1,"c","centre"
"109","1",42,-243.7,-4.60000000000002,114,222,1284840,2,"d4","distracter"
"110","1",42,-206.4,-130.7,617,363,1285484,3,"5","target"
"111","1",43,17.4,-2.89999999999998,1231,-1014,1290455,1,"c","centre"
"112","1",43,20.3,-243.9,724,258,1291220,2,"6","target"
"113","1",44,7.79999999999995,-6.10000000000002,1207,-1013,1295532,1,"c","centre"
"114","1",44,217.3,113.8,141,230,1295709,2,"2","target"
"115","1",44,233.7,105.6,596,379,1296313,3,"2","target"
"116","1",45,19.4,-10.6,214,-214,1299757,1,"c","centre"
"117","1",45,16.6,-5.39999999999998,964,11,1300732,2,"c","centre"
"118","1",45,25.9,-255.1,734,1014,1301505,3,"6","target"
"119","1",46,5.89999999999998,-9.5,1227,-1014,1305969,1,"c","centre"
"120","1",46,24.9,-246.9,685,248,1306689,2,"6","target"
"121","1",47,4,-2.70000000000005,1191,-1017,1310664,1,"c","centre"
"122","1",47,27,-229.8,45,213,1310748,2,"6","blank"
"123","1",47,224.7,-103.5,145,302,1310937,3,"1","target"
"124","1",47,231.9,-128.4,505,457,1311452,4,"1","target"
"125","1",48,13.5,-3.5,1221,-1013,1315981,1,"c","centre"
"126","1",48,28.8,-108.6,81,238,1316092,2,"0","blank"
"127","1",48,32,-274,85,366,1316224,3,"6","target"
"128","1",48,23.3,-263.5,505,463,1316741,4,"6","target"
"129","1",49,8.79999999999995,-3.60000000000002,1209,-1014,1321319,1,"c","centre"
"130","1",49,100.8,204.5,127,228,1321479,2,"d2","distracter"
"131","1",49,18.8,222.9,114,378,1321616,3,"3","target"
"132","1",49,7.89999999999998,239.1,466,502,1322092,4,"3","target"
"133","1",51,17.8,-10.3,1218,-1013,1332263,1,"c","centre"
"134","1",51,255.4,-132.8,716,245,1333019,2,"1","target"
"135","1",52,12.4,-17.7,260,-260,1336289,1,"c","centre"
"136","1",52,18.7,-14.9,937,11,1337237,2,"c","centre"
"137","1",52,11.2,-258,697,991,1337977,3,"6","target"
"138","1",53,22.3,-9.20000000000005,1203,-1015,1342181,1,"c","centre"
"139","1",53,223,128.6,166,228,1342387,2,"2","target"
"140","1",53,239,115.8,551,401,1342945,3,"2","target"
"141","1",54,24.9,-9.5,230,-230,1346893,1,"c","centre"
"142","1",54,17.4,-12.8,961,8,1347862,2,"c","centre"
"143","1",54,-208.7,123.3,733,1010,1348636,3,"4","target"
"144","1",55,3,-22.4,163,-163,1352027,1,"c","centre"
"145","1",55,10.8,4.60000000000002,1045,19,1353091,2,"c","centre"
