observer,trial,x,y,dur,onset,offset,n
1,53,1199,424.2,551,401,1342945,3
1,54,984.9,549.5,230,-230,1346893,1
1,54,977.4,552.8,961,8,1347862,2
1,54,751.3,416.7,733,1010,1348636,3
1,55,963,562.4,163,-163,1352027,1
1,55,970.8,535.4,1045,19,1353091,2
1,55,972.2,792.6,687,1116,1353830,3
1,56,965.3,553.7,274,-274,1357354,1
1,56,975.1,535.8,901,14,1358269,2
1,56,833.6,678,91,952,1358397,3
1,56,749.9,663.3,680,1068,1359102,4
1,57,987.5,550.2,1194,-1014,1363658,1
1,57,1234.6,505.6,86,220,1363784,2
1,57,1195.9,442.6,653,330,1364461,3
1,58,974,559.6,28,-28,1368461,1
1,58,970.3,538.8,741,12,1369214,2
1,58,966.6,524.3,420,767,1369648,3
1,58,876.6,753,72,1238,1369771,4
1,58,1196.9,665.5,613,1359,1370433,5
1,59,973.4,552.3,1211,-1022,1375435,1
1,59,752.8,661.1,731,231,1376208,2
1,60,977.1,546.7,1201,-1013,1383501,1
1,60,1188.2,674.8,724,230,1384267,2
1,62,971.9,555.6,1217,-1021,1395577,1
1,62,1225.5,579.3,129,237,1395747,2
1,62,981.6,790.8,567,420,1396368,3
1,63,973.9,554.1,1203,-1022,1400613,1
1,63,1220.9,480.8,46,221,1400699,2
1,63,1190.1,420,668,294,1401394,3
1,64,974.1,560.4,237,-237,1404839,1
1,64,975.7,551.3,955,10,1405804,2
1,64,1185.8,428.5,733,1004,1406576,3
1,65,972.8,551.9,1255,-1019,1410635,1
1,65,975.2,307.2,691,274,1411364,2
1,66,968.6,558,260,-260,1414879,1
1,66,965.7,538.3,930,18,1415827,2
1,66,1173.9,664.9,135,989,1416003,3
1,66,1190.4,676.4,582,1132,1416593,4
1,67,973,554.8,1215,-1014,1421035,1
1,67,1171.7,425,156,240,1421230,2
1,67,1183.7,435.4,516,413,1421763,3
1,68,964.2,550.1,239,-239,1424926,1
1,68,969.2,541.2,958,14,1425898,2
1,68,1210.2,683.8,146,1013,1426085,3
1,68,1203.9,670.6,456,1168,1426550,4
1,69,964.2,536.2,1222,-1014,1431426,1
1,69,960.6,291.3,730,247,1432195,2
1,70,969,547.2,430,-430,1435769,1
1,70,973.5,531,768,18,1436555,2
1,70,1065.2,740,78,823,1436670,3
1,70,723.5,650.5,151,948,1436868,4
1,70,747.3,668.7,503,1109,1437381,5
1,71,979.6,545.3,1234,-1012,1441741,1
1,71,982.8,311.2,639,261,1442419,2
1,72,973.6,549.3,1196,-1016,1446683,1
1,72,1194.9,681.6,602,218,1447323,2
1,73,984.6,546.9,1217,-1013,1464259,1
1,73,964,296.5,708,243,1465006,2
1,74,973.6,553.2,1209,-1018,1469463,1
1,74,978.4,305.7,720,232,1470224,2
1,75,971.1,545.2,1206,-1015,1474447,1
1,75,958.6,304.9,717,232,1475205,2
1,76,979.7,557.1,1188,-1014,1479463,1
1,76,742.7,671,670,223,1480182,2
1,77,971.9,553.5,646,-646,1484256,1
1,77,977,540.5,564,15,1484835,2
1,77,1195.5,688.6,129,620,1485005,3
