observer, trial, targLoc, distLoc, targDiscrim, thoughtNoAttCap
2, 187, 6, 0, 1, 1
2, 188, 6, 0, 1, 1
2, 189, 2, 1, -1, -1
2, 190, 4, 0, 1, 1
2, 191, 5, 0, 1, 1
2, 192, 2, 0, 1, 1
2, 193, 4, 0, 1, 1
2, 194, 6, 6, 1, 1
2, 195, 3, 1, 1, 1
2, 196, 6, 5, 1, 1
2, 197, 2, 0, 1, 1
2, 198, 6, 0, 1, 1
2, 199, 3, 0, 1, 1
2, 200, 4, 1, 1, 1
2, 201, 4, 0, 1, 1
2, 202, 5, 1, 1, 1
2, 203, 3, 6, 1, 1
2, 204, 5, 0, 1, 1
2, 205, 6, 0, 1, 1
2, 206, 4, 5, 1, 1
2, 207, 6, 1, 1, 1
2, 208, 2, 4, 1, 1
2, 209, 5, 0, 1, 1
2, 210, 3, 6, -1, -1
2, 211, 4, 0, 1, 1
2, 212, 5, 6, 1, 1
2, 213, 2, 0, 1, 1
2, 214, 6, 3, 1, 1
2, 215, 6, 0, 1, 1
2, 216, 5, 5, 1, 1
