observer,trial,x,y,dur,n
98,64,941,546.3,1224,1
98,64,1045.7,751.9,66,2
98,64,750.9,688.9,552,3
98,65,948.7,545.9,1220,1
98,65,954.4,821.9,376,2
98,66,949.9,547.5,1186,1
98,66,733.6,434.8,422,2
98,67,947.7,548.9,1198,1
98,67,1195.8,528.9,136,2
98,67,1165.9,435,560,3
98,68,952.8,544.4,430,1
98,68,939.3,546.3,776,2
98,68,908.8,760.8,112,3
98,68,944.5,811.7,922,4
98,69,952.7,544.8,1204,1
98,69,954.6,310.4,312,2
98,70,950.2,547.4,520,1
98,70,921.1,535.3,36,2
98,70,939.8,548.2,604,3
98,70,1195,669.3,568,4
98,71,947.7,549.1,1222,1
98,71,744.5,450.6,416,2
98,72,946.7,541.3,1210,1
98,72,959,806.3,308,2
98,72,978.8,483.1,294,3
98,73,946.1,547,1226,1
98,73,777.7,414.9,142,2
98,73,739.3,428.1,308,3
98,74,943.7,548.1,1248,1
98,74,1014.5,777.8,124,2
98,74,966.6,799.8,336,3
98,75,944.3,551.4,1216,1
98,75,952.3,315.6,310,2
98,75,1036.4,577.5,222,3
98,76,939.2,547.7,324,1
98,76,942.2,547.6,874,2
98,76,1177.7,473.7,604,3
98,77,944.8,549.4,1226,1
98,77,963.8,331.8,266,2
98,77,928.6,468.3,314,3
98,78,944.8,547.6,1208,1
98,78,957.2,293.8,364,2
98,79,942.8,547.4,1204,1
98,79,1209.3,551.9,82,2
98,79,954.4,326.9,542,3
98,80,942.1,542.9,272,1
98,80,951.6,541.8,242,2
98,80,938,547.8,658,3
98,80,1177.2,451.7,464,4
98,81,947.2,543.5,1204,1
98,81,722.1,667.1,350,2
98,82,946.8,550.3,1214,1
98,82,1187.2,684.3,278,2
98,83,941.2,544.3,1186,1
98,83,946.9,814.1,332,2
98,84,945.6,540.1,1204,1
98,84,738.7,672.8,508,2
98,85,941,540.8,1194,1
98,85,947.6,821.6,430,2
98,86,941.4,540.7,1216,1
98,86,736.2,439,456,2
98,87,946.6,532.9,1208,1
98,87,1168.7,428,460,2
98,88,942.1,544.7,1194,1
98,88,1059.7,343,112,2
98,88,1172.2,690.8,426,3
98,88,1051.8,644.1,250,4
98,89,943.2,545.1,1222,1
98,89,963.5,305.7,390,2
98,89,1024.1,586,254,3
98,90,946.6,542.4,1188,1
98,90,956.1,805.1,348,2
98,91,938.9,549,362,1
98,91,949.2,549.6,856,2
98,91,1058.4,362.9,106,3
98,91,955.4,323.5,496,4
98,92,951.3,542,1208,1
98,92,713.7,657.6,262,2
98,92,728.1,675.5,196,3
98,93,945.9,546.7,1190,1
98,93,949.6,811.3,492,2
98,93,1059.1,557.8,222,3
98,94,944.6,549.2,1200,1
98,94,785.7,406.3,136,2
98,94,732.7,431.9,376,3
98,95,943.6,544.8,1226,1
98,95,947.2,301.6,316,2
98,96,948.8,540.4,480,1
98,96,938.5,547.8,732,2
98,96,743.9,455.5,390,3
98,97,946.8,542.6,516,1
98,97,947.7,545,672,2
98,97,1184.2,683.7,406,3
98,98,946.4,544.6,1218,1
98,98,742.1,449.9,382,2
98,99,946.2,547.9,1200,1
98,99,740.1,460.9,464,2
98,100,946.8,545.5,1202,1
98,100,747.1,448.7,392,2
98,101,952.6,539.4,1222,1
98,101,1174,697.3,344,2
98,102,950.3,550.8,1272,1
98,102,1138.8,651.7,82,2
98,102,1187.9,679.7,398,3
98,103,949.8,548.3,274,1
98,103,960.1,553,910,2
98,103,1190.2,690.6,328,3
98,104,952,545.9,1212,1
98,104,716.3,662.1,382,2
98,105,944.9,545.1,422,1
98,105,953.8,553.8,818,2
98,105,1200.2,550.7,262,3
98,105,952.8,311,818,4
98,106,947.9,545.4,1204,1
98,106,965.4,427.2,30,2
98,106,738.4,422.4,686,3
98,107,958.8,552.1,384,1
98,107,948.6,553.2,660,2
98,107,960.2,299.1,296,3
98,108,950.5,547.5,1236,1
98,108,703.8,554.9,118,2
98,108,1215.3,685.7,226,3
98,108,1184.8,690.7,406,4
98,109,943.9,549.4,278,1
98,109,952.1,542.7,960,2
98,109,737.3,689.9,946,3
98,110,952.6,550.5,1192,1
98,110,951.1,804.6,336,2
98,111,949.4,547.5,348,1
98,111,947.2,549.5,840,2
98,111,962.3,323.5,456,3
98,112,952.3,547.6,1198,1
98,112,734,492.2,130,2
98,112,742.4,450.5,230,3
98,113,950.1,543.5,402,1
98,113,933.8,548.8,254,2
98,113,946.6,553,516,3
98,113,740.9,664.4,428,4
98,113,1058.5,530.9,178,5
98,114,947.8,553.1,1262,1
98,114,964.1,297.8,302,2
98,115,949.9,546.2,1204,1
98,115,1077.3,788.9,194,2
98,115,962.8,300.4,470,3
98,115,1033.3,582.7,242,4
98,116,953.6,557.7,1166,1
98,116,979.2,788.1,144,2
98,116,947.5,808.4,702,3
98,117,949.7,550.4,1216,1
98,117,718.1,559.1,152,2
98,117,747.3,436.6,556,3
98,118,956,545.7,414,1
98,118,943.1,541.1,762,2
98,118,727.7,673.8,400,3
98,119,950.2,550,1244,1
98,119,961.9,835.1,750,2
98,120,948.6,550.5,412,1
98,120,953.9,545.3,792,2
98,120,759.5,662.2,200,3
98,120,725.2,668.9,148,4
98,121,953.4,544.7,1196,1
98,121,973,806.9,296,2
98,121,1039.6,514.7,222,3
98,122,952.5,549.4,1204,1
98,122,742.5,449.9,358,2
98,122,1019.4,529.9,218,3
98,123,946.6,546.1,1218,1
98,123,1118.5,758.7,132,2
98,123,1179.6,699.3,544,3
98,124,950.3,542.8,86,1
98,124,942,545.9,1208,2
98,124,962.7,327.2,678,3
98,125,947.7,540.8,498,1
98,125,942.1,549,720,2
98,125,959.9,793.7,296,3
98,126,947.1,549,1210,1
98,126,830.5,364.5,84,2
98,126,951.8,326.5,276,3
98,127,954.1,550.6,1222,1
98,127,1186,434.6,612,2
98,128,943.6,546.6,1208,1
98,128,736.3,654.8,366,2
98,129,946,549.4,1236,1
98,129,1052.5,365.2,92,2
98,129,968,329.2,556,3
98,130,950.1,546.6,1208,1
98,130,717.4,675.6,338,2
