observer,trial,x,y,dur,onset,n
1,52,958.9,523.8,1120,0,1
1,52,1078.8,393.4,154,196,2
1,53,958.9,539,1134,0,1
1,53,1098.8,721.7,218,256,2
1,54,943.7,529.6,130,0,1
1,54,956.2,525.4,916,1120,2
1,54,1194.5,550,166,1320,3
1,55,961.3,546.4,1430,0,1
1,56,952.2,547.3,110,0,1
1,56,954.4,539.2,424,620,2
1,56,960.2,502,22,852,3
1,56,953.1,539.7,300,1162,4
1,56,706.8,532,122,1336,5
1,57,954.3,539.6,1182,0,1
1,57,774,599.7,148,182,2
1,58,956.4,545.1,1372,0,1
1,58,958.5,329.7,198,250,2
1,59,957.7,540.3,1232,0,1
1,59,1059.8,398.3,124,164,2
1,60,955.3,540.8,1286,0,1
1,60,1185.3,639.1,250,284,2
1,61,956.9,544.5,1236,0,1
1,61,1097.8,760.4,114,164,2
1,61,1155.6,406.6,244,466,3
1,62,957.9,542.6,1242,0,1
1,62,847.7,400.4,146,184,2
1,63,958.2,533.8,1362,0,1
1,63,744.2,630.9,254,308,2
1,64,958.8,543.1,332,0,1
1,64,964.3,540.6,748,936,2
1,64,1042.9,383.9,186,1162,3
1,64,973.4,323,226,1408,4
1,65,960.2,542,1272,0,1
1,65,972.5,759.9,198,248,2
1,66,962.6,538,1180,0,1
1,66,782.9,463.8,148,184,2
1,67,946.3,520.6,204,0,1
1,67,961.6,538.8,1024,1032,2
1,67,1175.7,629.8,190,1256,3
1,68,961.1,541.9,1166,0,1
1,68,773.1,607.2,156,188,2
1,69,963,550.9,1316,0,1
1,69,963.2,398.8,150,190,2
1,70,960.4,528.3,1308,0,1
1,70,984.2,714.2,126,174,2
1,71,966,546.1,1236,0,1
1,71,1060.6,403.7,204,244,2
1,72,968.3,543,50,0,1
1,72,968.3,539.3,264,496,2
1,72,967.5,555.4,674,1354,3
1,72,968.4,416,152,1542,4
1,73,968.4,542.2,1296,0,1
1,73,858.1,698.4,118,168,2
1,73,970.9,790.2,278,472,3
1,74,968,551,130,0,1
1,74,969,519.2,22,240,2
1,74,965.8,549.5,948,1196,3
1,74,791.8,598,148,1378,4
1,75,967.6,538.7,444,0,1
1,75,965.9,539.8,632,824,2
1,75,807.4,445.6,182,1046,3
1,75,746.7,440.6,220,1284,4
1,76,962,557.2,1254,0,1
1,76,745,621.8,202,238,2
1,77,962.8,496.9,12,0,1
1,77,955.1,553.6,338,348,2
1,77,967.6,546.7,670,1248,3
1,78,968.3,544.6,1406,0,1
1,78,988,773.6,196,238,2
1,79,982.6,529.7,1280,0,1
1,79,786.7,605.2,166,202,2
1,80,968.4,549.5,1318,0,1
1,81,970.8,526.9,1176,0,1
1,81,1208.1,551.4,176,212,2
1,82,969.3,547.1,1262,0,1
1,83,967.9,544.4,820,0,1
1,83,969.7,542.3,630,720,2
1,83,1182.8,648.9,302,1052,3
1,84,965.9,551.4,1428,0,1
1,84,981.7,761.1,168,204,2
1,85,971.9,537.5,1258,0,1
1,85,776.4,442.4,126,158,2
1,86,962.2,545,1278,0,1
1,86,983.9,747.8,150,198,2
1,87,961.9,541.7,1296,0,1
1,87,836.5,486.3,140,166,2
1,88,960.8,533.1,694,0,1
1,88,968.5,540.3,242,452,2
1,89,967.4,529.3,1272,0,1
1,89,1128.2,443.9,198,234,2
1,90,960.3,551.1,1276,0,1
1,90,1152.9,623.3,220,252,2
1,91,965.9,543.1,1296,0,1
1,92,966.2,539.1,1354,0,1
1,92,742.6,443.9,194,236,2
1,93,959.2,534.3,1262,0,1
1,93,1152.6,460.3,172,212,2
1,94,963.2,542.6,1160,0,1
1,94,1041.8,424.9,148,186,2
1,95,975.2,538.2,1196,0,1
1,95,1189.3,629.1,362,396,2
1,96,969,547.1,138,0,1
1,96,971.3,537.4,900,1102,2
1,96,875.8,393.7,168,1298,3
1,97,972.7,541.2,1164,0,1
1,97,787.9,462.7,172,210,2
