"observer","thought","captured","congC","distracter","medianRT","nTrials"
9,"direct","none","incongruent",1,0.486508,7
9,"direct","none","no distracter",0,0.485652,33
9,"direct","tooLong","congruent",1,0.4960705,16
9,"direct","tooLong","incongruent",1,0.457772,19
9,"direct","tooLong","no distracter",0,0.4933115,102
10,"captured","direct","congruent",1,0.723822,3
10,"captured","fixatedDistracter","congruent",1,1.160305,16
10,"captured","fixatedDistracter","incongruent",1,0.956987,17
10,"captured","none","congruent",1,0.9582595,2
10,"captured","none","incongruent",1,0.713254,1
10,"captured","tooLong","congruent",1,0.746632,1
10,"direct","direct","congruent",1,0.745019,61
10,"direct","direct","incongruent",1,0.736948,77
10,"direct","direct","no distracter",0,0.6447985,190
10,"direct","fixatedDistracter","congruent",1,0.777402,17
10,"direct","fixatedDistracter","incongruent",1,0.9468815,18
10,"direct","none","congruent",1,0.739423,15
10,"direct","none","incongruent",1,0.7749625,14
10,"direct","none","no distracter",0,0.626148,69
10,"direct","tooLong","congruent",1,0.751631,9
10,"direct","tooLong","incongruent",1,0.794317,4
10,"direct","tooLong","no distracter",0,0.702955,3
12,"captured","fixatedDistracter","incongruent",1,1.001826,3
12,"captured","tooLong","congruent",1,1.344175,1
12,"direct","direct","congruent",1,0.937442,3
12,"direct","direct","incongruent",1,0.801589,6
12,"direct","direct","no distracter",0,0.971749,24
12,"direct","fixatedDistracter","congruent",1,0.963958,53
12,"direct","fixatedDistracter","incongruent",1,1.022748,54
12,"direct","none","congruent",1,1.103214,3
12,"direct","none","incongruent",1,0.969139,5
12,"direct","none","no distracter",0,0.861659,23
12,"direct","tooLong","congruent",1,0.7533865,10
12,"direct","tooLong","incongruent",1,0.935318,15
12,"direct","tooLong","no distracter",0,0.900753,79
13,"captured","direct","congruent",1,1.327812,1
13,"captured","direct","incongruent",1,1.122216,1
13,"captured","fixatedDistracter","congruent",1,0.8581615,16
13,"captured","fixatedDistracter","incongruent",1,0.952306,17
13,"direct","direct","congruent",1,0.623828,17
13,"direct","direct","incongruent",1,0.654514,19
13,"direct","direct","no distracter",0,0.593778,33
13,"direct","fixatedDistracter","congruent",1,0.5139215,16
13,"direct","fixatedDistracter","incongruent",1,0.564971,18
13,"direct","none","congruent",1,0.531153,26
13,"direct","none","incongruent",1,0.61132,17
13,"direct","none","no distracter",0,0.446899,54
13,"direct","tooLong","congruent",1,0.545286,3
13,"direct","tooLong","incongruent",1,0.532793,5
13,"direct","tooLong","no distracter",0,0.4459785,4
14,"captured","direct","incongruent",1,0.834622,1
14,"captured","fixatedDistracter","congruent",1,0.7821775,26
14,"captured","fixatedDistracter","incongruent",1,1.0262525,42
14,"captured","none","congruent",1,0.814398,1
14,"captured","none","no distracter",0,0.695815,1
14,"captured","tooLong","congruent",1,0.657554,1
14,"direct","direct","congruent",1,0.626885,4
14,"direct","direct","incongruent",1,0.861272,4
14,"direct","direct","no distracter",0,0.670107,42
14,"direct","fixatedDistracter","congruent",1,0.667847,85
14,"direct","fixatedDistracter","incongruent",1,0.781799,68
14,"direct","none","congruent",1,0.622743,7
14,"direct","none","incongruent",1,0.623302,1
14,"direct","none","no distracter",0,0.568505,73
14,"direct","tooLong","congruent",1,0.6228465,10
14,"direct","tooLong","incongruent",1,0.649637,11
14,"direct","tooLong","no distracter",0,0.562038,77
15,"captured","direct","congruent",1,1.0737075,2
15,"captured","direct","incongruent",1,1.0910365,2
