"observer","trial","x","y","dur","onset","n","aoi","aoi2"
"3",534,248.4,-15.2,102,1114,3,"d1","distracter"
"3",535,5,-18,186,0,1,"c","centre"
"3",535,-1.79999999999995,-20.6,836,1032,2,"c","centre"
"3",535,-244,-29.5,118,1176,3,"d4","distracter"
"3",536,-2.60000000000002,-15,226,0,1,"c","centre"
"3",536,-2.20000000000005,-8.60000000000002,834,1022,2,"c","centre"
"3",537,-0.600000000000023,-9.20000000000005,288,0,1,"c","centre"
"3",537,-11.4,-2.5,748,896,2,"c","centre"
"3",538,-5.20000000000005,-14,1206,0,1,"c","centre"
"3",538,-239.9,-17.3,92,136,2,"d4","distracter"
"3",538,23,-239.8,196,394,3,"6","target"
"3",539,-7.10000000000002,1.79999999999995,252,0,1,"c","centre"
"3",539,-2.10000000000002,1.10000000000002,816,938,2,"c","centre"
"3",540,0.600000000000023,-1,186,0,1,"c","centre"
"3",540,-3,-1.20000000000005,790,994,2,"c","centre"
"3",541,-23.7,-10.2,266,0,1,"c","centre"
"3",541,-12.7,4.79999999999995,760,924,2,"c","centre"
"3",542,-10.5,8,204,0,1,"c","centre"
"3",542,-5.5,0.299999999999955,790,982,2,"c","centre"
"3",543,2,3.70000000000005,1192,0,1,"c","centre"
"3",544,-8.60000000000002,16.6,188,0,1,"c","centre"
"3",544,-4.60000000000002,14.9,818,1020,2,"c","centre"
"3",545,-10.4,4.10000000000002,1194,0,1,"c","centre"
"3",546,-1.10000000000002,-3.79999999999995,442,0,1,"c","centre"
"3",546,5.60000000000002,0.200000000000045,596,758,2,"c","centre"
"3",547,8.5,-2.39999999999998,238,0,1,"c","centre"
"3",547,-3.70000000000005,4.5,774,996,2,"c","centre"
"3",548,0.100000000000023,-12.3,194,0,1,"c","centre"
"3",548,4.39999999999998,-15,746,996,2,"c","centre"
"3",549,-6.70000000000005,-2.89999999999998,328,0,1,"c","centre"
"3",549,1.89999999999998,-9.29999999999995,898,908,2,"c","centre"
"3",550,-3.29999999999995,-7.10000000000002,1198,0,1,"c","centre"
"3",551,-4.5,-20.5,274,0,1,"c","centre"
"3",551,-2.20000000000005,-13.7,782,980,2,"c","centre"
"3",552,0.100000000000023,-11.1,1230,0,1,"c","centre"
"3",552,131.5,-197,124,154,2,"d6","distracter"
"3",553,4.39999999999998,-19.7,1186,0,1,"c","centre"
"3",553,-250.5,-88.2,118,174,2,"5","target"
"3",554,5.60000000000002,-12.7,188,0,1,"c","centre"
"3",554,6.39999999999998,-0.200000000000045,810,1034,2,"c","centre"
"3",555,0.899999999999977,-16.7,170,0,1,"c","centre"
"3",555,6.79999999999995,-12.8,712,1032,2,"c","centre"
"3",556,7.10000000000002,-26.7,228,0,1,"c","centre"
"3",556,-4.39999999999998,-9,782,984,2,"c","centre"
"3",557,17.2,-13.5,1196,0,1,"c","centre"
"3",558,13.7,-19.9,262,0,1,"c","centre"
"3",558,7.20000000000005,2.29999999999995,824,932,2,"c","centre"
"3",558,244,13.8,100,1064,3,"d1","distracter"
"3",559,4.89999999999998,-8.29999999999995,190,0,1,"c","centre"
"3",559,5.70000000000005,-11.9,728,990,2,"c","centre"
"3",559,134.9,205.8,132,1168,3,"d2","distracter"
"3",559,6.60000000000002,-278.4,98,1338,4,"6","target"
"3",560,6.5,-23.5,174,0,1,"c","centre"
"3",560,7.29999999999995,-17.5,774,1012,2,"c","centre"
"3",561,4.79999999999995,-27.5,216,0,1,"c","centre"
"3",561,-0.899999999999977,-10.2,802,1014,2,"c","centre"
"3",561,-2.89999999999998,224,240,1304,3,"3","target"
"3",562,-2.20000000000005,-22.2,1306,0,1,"c","centre"
"3",563,3.29999999999995,-17.1,1244,0,1,"c","centre"
"3",564,-12.8,-5.39999999999998,204,0,1,"c","centre"
"3",564,-8.79999999999995,-12.2,780,984,2,"c","centre"
"3",564,118.1,191.3,134,1152,3,"d2","distracter"
"3",565,4.29999999999995,-13.5,194,0,1,"c","centre"
"3",565,-0.299999999999955,-12.8,746,1008,2,"c","centre"
"3",566,-11.6,-24.1,236,0,1,"c","centre"
"3",566,-2.29999999999995,-15.2,776,968,2,"c","centre"
"3",566,-128.5,165.3,112,1130,3,"d3","distracter"
"3",566,-235.5,-179.2,36,1230,4,"5","target"
"3",567,9.89999999999998,-14.3,190,0,1,"c","centre"
"3",567,2.70000000000005,-21.4,742,1030,2,"c","centre"
"3",568,2.79999999999995,-10.8,176,0,1,"c","centre"
"3",568,6.39999999999998,-15.1,742,1012,2,"c","centre"
"3",568,-232.6,164.2,106,1212,3,"4","target"
"3",569,-5.5,-2.79999999999995,206,0,1,"c","centre"
"3",569,-5.10000000000002,-13.7,768,986,2,"c","centre"
"3",570,0.299999999999955,-23.6,188,0,1,"c","centre"
"3",570,1.70000000000005,-16,794,1020,2,"c","centre"
"3",571,9.5,-16.1,292,0,1,"c","centre"
"3",571,4.79999999999995,0.100000000000023,684,920,2,"c","centre"
"3",571,-246.8,-94.5,114,1082,3,"5","target"
"3",572,0.700000000000045,-20.2,90,0,1,"c","centre"
"3",572,8.89999999999998,-25.8,882,1084,2,"c","centre"
"3",572,109.9,198.6,104,1236,3,"d2","distracter"
"3",573,8.79999999999995,-18.3,1232,0,1,"c","centre"
"3",573,129.3,-207.2,114,162,2,"d6","distracter"
"3",574,5,-8.60000000000002,314,0,1,"c","centre"
"3",574,-5.70000000000005,-10.4,710,886,2,"c","centre"
"3",575,6.10000000000002,-17.8,1228,0,1,"c","centre"
"3",576,4.70000000000005,-11.5,230,0,1,"c","centre"
"3",576,2.20000000000005,-20.3,796,1026,2,"c","centre"
"3",577,2.20000000000005,-1.70000000000005,1048,0,1,"c","centre"
"3",577,-125.3,162.4,358,400,2,"d3","distracter"
"3",577,2,-279.2,86,556,3,"6","target"
"3",578,3.39999999999998,-21.8,226,0,1,"c","centre"
"3",578,1.29999999999995,-13.7,796,988,2,"c","centre"
"3",578,247.6,40.6,102,1132,3,"d1","distracter"
"5",1,28.7,8.79999999999995,746,0,1,"c","centre"
"5",1,117.3,86.9,196,220,2,"0","blank"
"5",1,28,39.1,164,404,3,"c","centre"
"5",1,21.7,165.7,132,564,4,"3","blank"
"5",2,24.5,-12.5,560,0,1,"c","centre"
"5",2,106.3,61.4,150,174,2,"0","blank"
"5",2,29.2,4.89999999999998,100,298,3,"c","centre"
"5",2,44.7,5.29999999999995,202,596,4,"c","centre"
"5",2,58.4,86.4,204,822,5,"0","blank"
"5",2,-140.1,137.7,178,1036,6,"4","target"
"5",3,33.5,7.89999999999998,584,0,1,"c","centre"
"5",3,30.5,177.2,256,286,2,"3","blank"
"5",3,25.8,146.8,222,522,3,"0","blank"
"5",3,21.4,89.6,242,784,4,"c","centre"
"5",3,-146,-65.7,118,938,5,"5","target"
"5",4,43.7,16.7,650,0,1,"c","centre"
"5",4,75.7,30,248,258,2,"c","centre"
"5",4,40.7,30.6,302,572,3,"c","centre"
"5",4,209,2.29999999999995,194,796,4,"d1","centre"
"5",4,245.1,-16,222,1030,5,"d1","centre"
