"observer","trial","x","y","dur","onset","n","aoi"
"1",24,-15.9,-12.8,1202,0,1,"c"
"1",24,-228.1,-114.6,1617,1668,2,"c"
"1",24,-248.1,-120.3,503,2179,3,"c"
"1",24,-292.9,-1500.4,1020,3720,4,"c"
"1",24,-292.3,-1057.7,116,3895,5,"c"
"1",25,-12.8,-6.5,1203,0,1,"c"
"1",25,-218.6,-107.1,465,515,2,"c"
"1",26,-14.6,-2.29999999999995,1192,0,1,"c"
"1",26,163,-206,137,188,2,"c"
"1",26,211,-124.7,853,1071,3,"c"
"1",26,-287.1,-1513.1,179,1374,4,"c"
"1",27,-9.39999999999998,-5.79999999999995,1240,0,1,"c"
"1",27,-158.4,62.4,90,129,2,"c"
"1",27,76.7,233.1,219,399,3,"c"
"1",27,-222.4,122.8,451,906,4,"c"
"1",27,-310.5,-1433.6,197,1292,5,"c"
"1",27,-320.6,-1499.5,217,1516,6,"c"
"1",28,-14.5,5,79,0,1,"c"
"1",28,-7.89999999999998,-1.39999999999998,1104,1121,2,"c"
"1",28,193.3,92.3,152,1325,3,"c"
"1",28,201.8,110.6,659,1994,4,"c"
"1",28,-336.7,-1415.7,113,2221,5,"c"
"1",29,-11.7,-2.10000000000002,1234,0,1,"c"
"1",29,109.7,-217.2,38,91,2,"c"
"1",29,-22.8,247.5,158,312,3,"c"
"1",29,-13.7,276.1,681,1008,4,"c"
"1",29,-275.7,-1418.8,114,1320,5,"c"
"1",29,-274.9,-1485.3,134,1465,6,"c"
"1",30,-13.2,-7.29999999999995,1199,0,1,"c"
"1",30,69.9000000000001,-210.6,134,181,2,"c"
"1",30,-7.60000000000002,-247.4,643,848,3,"c"
"1",30,-276.1,-1561.6,180,1137,4,"c"
"1",30,-297,-1531.1,234,1558,5,"c"
"1",31,-12.3,-8.10000000000002,1210,0,1,"c"
"1",31,-232.8,-127.8,645,695,2,"c"
"1",31,-305.2,-1459.8,195,990,3,"c"
"1",31,-302.1,-1530.2,315,1322,4,"c"
"1",32,-12.8,-4.79999999999995,1211,0,1,"c"
"1",32,179.9,98.6,165,204,2,"c"
"1",32,195.3,111.3,468,682,3,"c"
"1",33,-14.7,-9.89999999999998,604,0,1,"c"
"1",33,-16.2,-17,570,729,2,"c"
"1",33,-210.2,118,201,982,3,"c"
"1",33,-226.7,133.7,668,1662,4,"c"
"1",33,-326.2,-1491.3,162,1955,5,"c"
"1",34,-13.8,-5,1229,0,1,"c"
"1",34,-210,-14.5,121,170,2,"c"
"1",34,-255.3,0.5,387,573,3,"c"
"1",34,-245.8,133.2,2966,3583,4,"c"
"1",34,-251.3,109.7,369,4115,5,"c"
"1",34,-238.4,113.6,161,4285,6,"c"
"1",34,-290.8,-1430.9,124,4528,7,"c"
"1",34,-272.4,-1512.8,166,4710,8,"c"
"1",35,-13.4,-6.5,1242,0,1,"c"
"1",35,-138.5,-224.5,169,220,2,"c"
"1",35,-136.8,-199.7,136,369,3,"c"
"1",35,201.6,100.8,201,618,4,"c"
"1",35,204,128.8,244,876,5,"c"
"1",35,-285,-1336.6,79,1200,6,"c"
"1",35,-284.6,-1459.9,221,1451,7,"c"
"1",35,-326,-1572.3,235,1710,8,"c"
"1",35,-266.9,-1505.3,229,2152,9,"c"
"1",36,-9.29999999999995,-1.10000000000002,1203,0,1,"c"
"1",36,-11.1,-267.8,116,156,2,"c"
"1",36,-9.70000000000005,-242,436,609,3,"c"
"1",37,-9.29999999999995,-9.5,298,0,1,"c"
"1",37,-12.3,-6.39999999999998,757,916,2,"c"
"1",37,210.1,-113.7,467,1428,3,"c"
"1",37,-293.6,-1460.3,144,1681,4,"c"
"1",38,-15.7,-9,1205,0,1,"c"
"1",38,-9,261.7,405,459,2,"c"
"1",39,-10.3,-6.79999999999995,1189,0,1,"c"
"1",39,223.9,-123.4,383,433,2,"c"
"1",39,-258.2,-1555.4,172,749,3,"c"
"1",40,-7.60000000000002,-2.10000000000002,1200,0,1,"c"
"1",40,-10.2,-267.5,122,174,2,"c"
"1",40,-4,-248.4,224,410,3,"c"
"1",40,-293.9,-1452.6,125,623,4,"c"
"1",41,-8,-8.29999999999995,1207,0,1,"c"
"1",41,132.5,-193,52,102,2,"c"
"1",41,-223,-113.6,842,1005,3,"c"
"1",41,-226.6,-483.9,24,1091,4,"c"
"1",42,-5.29999999999995,-13,1199,0,1,"c"
"1",42,-73.1,158.1,97,139,2,"c"
"1",42,-22,260.6,302,469,3,"c"
"1",42,-9.39999999999998,268.2,466,943,4,"c"
"1",42,-297.4,-1506.5,244,1361,5,"c"
"1",43,-7.20000000000005,-12.5,1234,0,1,"c"
"1",43,6.60000000000002,177.6,44,97,2,"c"
"1",43,-3.20000000000005,242.4,165,295,3,"c"
"1",43,-3.39999999999998,257.8,390,696,4,"c"
"1",43,-273.4,-1463.8,193,1104,5,"c"
"1",44,-7.29999999999995,-6.70000000000005,1230,0,1,"c"
"1",44,198.6,-125.1,256,305,2,"c"
"1",44,210.4,-119.5,620,933,3,"c"
"1",44,-261.6,-1538.2,228,1333,4,"c"
"1",45,-8.5,-12.4,1300,0,1,"c"
"1",45,-11.8,-242.5,1538,1579,2,"c"
"1",45,-275.4,-1547.5,203,1954,3,"c"
"1",45,-37,-270.8,121,2665,4,"c"
"1",45,-11.9,-236.4,2119,4801,5,"c"
"1",45,-6.10000000000002,-240.9,576,5406,6,"c"
"1",45,1.29999999999995,-203.5,156,5584,7,"c"
"1",45,-161.8,-57.5,80,5707,8,"c"
"1",45,-232.2,-13,176,5910,9,"c"
"1",46,-9.60000000000002,-11.2,1220,0,1,"c"
"1",46,212.4,-37.1,47,95,2,"c"
"1",46,191.1,96.2,217,356,3,"c"
"1",46,198.8,115.9,618,985,4,"c"
"1",47,-6.39999999999998,-3.79999999999995,447,0,1,"c"
"1",47,-3.29999999999995,-6.5,604,777,2,"c"
"1",47,-133.7,153.8,160,976,3,"c"
"1",47,-224.4,127.6,870,1871,4,"c"
"1",48,-8.79999999999995,-2.79999999999995,1239,0,1,"c"
"1",48,-221.8,21.7,170,220,2,"c"
"1",48,-232.2,128.4,760,1002,3,"c"
"1",48,-260.4,-1412.8,188,1377,4,"c"
"1",49,-12.4,-7.39999999999998,1212,0,1,"c"
"1",49,5.79999999999995,208.5,61,114,2,"c"
"1",49,1.39999999999998,226.7,100,234,3,"c"
"1",49,-1.70000000000005,268.5,503,756,4,"c"
"1",50,-11.3,-7.29999999999995,1172,0,1,"c"
"1",50,-220.8,92.4,128,178,2,"c"
"1",50,-219.8,129.6,452,647,3,"c"
"1",51,-5.39999999999998,-0.700000000000045,1242,0,1,"c"
"1",51,1.89999999999998,-265.3,203,255,2,"c"
"1",51,-3,-244.8,350,619,3,"c"
"1",51,-310.7,-1589.7,187,904,4,"c"
"1",51,-265.6,-1504.4,874,2220,5,"c"
"1",51,-40.7,-191.4,124,2501,6,"c"
"1",51,7.70000000000005,-218.8,326,2852,7,"c"
"1",51,-250.6,-1430.8,184,3132,8,"c"
"1",52,-0.700000000000045,-6.39999999999998,646,0,1,"c"
"1",52,-6.70000000000005,-10.3,410,568,2,"c"
"1",52,102.7,188.3,169,776,3,"c"
"1",52,122.6,226.8,109,903,4,"c"
"1",52,227.1,-134.4,607,1567,5,"c"
"1",53,-7.79999999999995,-4,1195,0,1,"c"
"1",53,118.2,-211.5,86,138,2,"c"
"1",53,199.1,117,588,782,3,"c"
"1",53,218.9,114.5,255,1047,4,"c"
"1",53,208.2,118.8,931,2135,5,"c"
"1",53,254.6,41.9,78,3114,6,"c"
"1",53,211.7,109.6,87,3239,7,"c"
"1",53,-272.5,-1480.7,36,3511,8,"c"
"1",53,-272,-1514.3,75,3601,9,"c"
"1",53,-267.4,-1459.4,346,3958,10,"c"
"1",53,-216.9,-1562.2,136,4123,11,"c"
"1",53,186.7,102.7,212,4496,12,"c"
"1",53,208.7,108.3,464,4980,13,"c"
"1",53,210.8,110.3,771,5924,14,"c"
"1",53,214.3,-5.29999999999995,65,6006,15,"c"
"1",53,216,-72.7,66,6089,16,"c"
"1",53,212.9,-99.6,560,6660,17,"c"
"1",54,-4.20000000000005,-9.29999999999995,1197,0,1,"c"
"1",54,238.4,-34.4,125,162,2,"c"
"1",54,239.9,-26.5,145,315,3,"c"
"1",54,223.2,-125.5,427,770,4,"c"
"1",54,-256.5,-1539,294,1221,5,"c"
"1",55,-7.10000000000002,-12.4,1209,0,1,"c"
"1",55,-2.60000000000002,-275.3,133,186,2,"c"
"1",55,-0.5,-252.8,221,419,3,"c"
"1",55,-1,-240.6,814,1242,4,"c"
"1",56,-3.5,-12.5,1262,0,1,"c"
"1",56,185.9,-101.7,144,224,2,"c"
"1",56,221.6,-114.7,478,718,3,"c"
"1",57,-7.5,-12.4,1210,0,1,"c"
"1",57,-204.9,-111.2,178,230,2,"c"
"1",57,-227.3,-122.6,264,512,3,"c"
"1",59,-8.79999999999995,-14.7,1233,0,1,"c"
"1",59,-1.10000000000002,-258,620,669,2,"c"
"1",60,-4.39999999999998,-7.20000000000005,1216,0,1,"c"
"1",60,213.6,-121.1,295,344,2,"c"
"1",60,235.1,-118.1,423,776,3,"c"
"1",60,237.7,-114,310,1246,4,"c"
"1",60,-390.4,-1543.3,155,1517,5,"c"
"1",60,-278.5,-1486.4,193,2091,6,"c"
"1",60,257.6,-101.5,156,2429,7,"c"
"1",60,231.7,-121.3,165,2606,8,"c"
"1",60,-242.3,-1397.1,91,3001,9,"c"
"1",61,-2.70000000000005,-0.200000000000045,1210,0,1,"c"
"1",61,111.2,-180.4,90,146,2,"c"
"1",61,202.7,113.2,1764,1968,3,"c"
"1",61,-288,-1516,179,2353,4,"c"
"1",61,185.7,110.1,650,3549,5,"c"
"1",61,199.5,118.3,1574,5134,6,"c"
"1",62,-16,-7.10000000000002,1182,0,1,"c"
"1",62,-77.4,196.5,112,164,2,"c"
"1",62,-2.39999999999998,272.6,1142,1330,3,"c"
"1",62,-255.3,-1387,149,1673,4,"c"
"1",63,-9.29999999999995,-4.79999999999995,1223,0,1,"c"
"1",63,239.4,-17.3,218,267,2,"c"
"1",63,-271.7,-153.1,97,481,3,"c"
"1",63,-231,-125,383,1040,4,"c"
"1",63,-314.6,-1519.2,317,1463,5,"c"
"1",64,-8.29999999999995,-11.9,1203,0,1,"c"
"1",64,87.9000000000001,201.5,159,211,2,"c"
"1",64,13.4,254.2,156,390,3,"c"
"1",64,-10.6,263.9,386,787,4,"c"
"1",64,-377,-1446.2,102,1067,5,"c"
"1",64,-275.4,-1485.5,138,1552,6,"c"
"1",64,-6.5,225,357,2071,7,"c"
"1",65,-8.5,-3.10000000000002,1195,0,1,"c"
"1",65,-5.79999999999995,-245.8,487,539,2,"c"
"1",66,-7.10000000000002,-7.29999999999995,1268,0,1,"c"
"1",66,-151.4,79.5,82,126,2,"c"
"1",66,-219,126.1,477,629,3,"c"
"1",67,-6.39999999999998,-9.70000000000005,441,0,1,"c"
"1",67,-5.20000000000005,-11.3,557,761,2,"c"
"1",67,213.5,-114.7,331,1140,3,"c"
"1",68,-6.29999999999995,-11.5,1210,0,1,"c"
"1",68,-233.9,-154.4,121,173,2,"c"
"1",68,-228.2,-132.7,351,536,3,"c"
"1",68,-289.1,-1518.5,495,1139,4,"c"
"1",68,-304.8,-1370.6,64,1234,5,"c"
"1",68,-200.8,-49.2,154,1570,6,"c"
"1",69,-8.10000000000002,-6.79999999999995,1200,0,1,"c"
"1",69,-2.20000000000005,239.9,552,607,2,"c"
"1",69,-231.4,-1443.5,115,842,3,"c"
"1",70,-9.89999999999998,-12.6,1193,0,1,"c"
"1",70,8.70000000000005,-273.3,87,139,2,"c"
"1",70,-2.39999999999998,-246.3,382,534,3,"c"
"1",70,-247.3,-1520.3,189,819,4,"c"
"1",70,-275,-1517.1,413,1241,5,"c"
"1",70,-29.3,-169,124,1517,6,"c"
"1",71,-8.29999999999995,-10.2,1187,0,1,"c"
"1",71,91.5,198.4,182,230,2,"c"
"1",71,128.6,195.3,45,290,3,"c"
"1",71,197.7,101.7,242,559,4,"c"
"1",71,209.2,100,311,878,5,"c"
"1",72,-11.3,-15.4,1181,0,1,"c"
"1",72,-5.29999999999995,265.5,295,350,2,"c"
"1",72,-291.9,-1506.3,159,648,3,"c"
"1",73,-9.20000000000005,-5.89999999999998,1196,0,1,"c"
"1",73,-96.3,-242.7,132,183,2,"c"
"1",73,-8.89999999999998,-251,513,719,3,"c"
"1",74,-15.7,-8.60000000000002,1209,0,1,"c"
"1",74,229.8,-31.6,106,156,2,"c"
"1",74,-163.3,-119.3,153,368,3,"c"
"1",74,-225,-126.1,500,892,4,"c"
"1",75,-13.5,-14.3,1194,0,1,"c"
"1",75,-97.3,150.8,99,148,2,"c"
"1",75,-129.8,223.2,377,549,3,"c"
"1",75,-222.4,125.1,436,1020,4,"c"
"1",76,-12.4,-20.2,1324,0,1,"c"
"1",76,-163.4,-89.3,131,169,2,"c"
"1",76,-226.9,-126,769,959,3,"c"
"1",76,-225.4,-123.3,1553,2523,4,"c"
"1",76,-97.6,137.2,101,2752,5,"c"
"1",76,-30.7,198.6,129,2904,6,"c"
"1",76,-218.5,-149.7,143,3109,7,"c"
"1",76,-225.6,-130.7,381,3502,8,"c"
"1",76,-192.6,-131.4,274,3795,9,"c"
"1",76,-73,-139.1,215,4041,10,"c"
"1",76,12.8,166.2,107,4203,11,"c"
"1",76,-9.20000000000005,234.9,263,4490,12,"c"
"1",76,-204.1,126.6,167,4706,13,"c"
"1",76,6.89999999999998,216.2,224,4969,14,"c"
"1",76,-229,-110.5,505,5525,15,"c"
"1",76,-230.9,-131,579,6118,16,"c"
"1",76,-245.5,-122.9,364,7098,17,"c"
"1",77,-14.3,-11.6,1212,0,1,"c"
"1",77,107.3,184.8,196,236,2,"c"
"1",77,116.2,209.3,107,355,3,"c"
"1",77,202.2,-125.1,630,1041,4,"c"
"1",77,-312.3,-1406.8,37,1241,5,"c"
"1",77,-322.2,-1485.8,80,1330,6,"c"
"1",77,-422.4,-1592,36,1610,7,"c"
"1",77,-268.9,-1488.4,459,2099,8,"c"
"1",78,-15.4,-6.89999999999998,1291,0,1,"c"
"1",78,21,-253.5,110,161,2,"c"
"1",78,-10.5,-245.2,769,941,3,"c"
"1",78,-254.7,-1562.6,376,1518,4,"c"
"1",79,-14.7,-10.9,1355,0,1,"c"
"1",79,-205.1,-109.3,149,199,2,"c"
"1",79,-233.5,-123.7,567,776,3,"c"
"1",80,-18.1,-12,1267,0,1,"c"
"1",80,89.3,-190.4,41,88,2,"c"
"1",80,-184.4,-137.5,105,246,3,"c"
"1",80,-245.5,-118.5,2061,2323,4,"c"
"1",80,-257.7,-120.3,311,2653,5,"c"
