observer, trial, targLoc, distLoc, targDiscrim, thoughtNoAttCap
22, 187, 3, 0, 1, 1
22, 188, 6, 3, 1, 1
22, 189, 1, 0, 1, 1
22, 190, 3, 0, 1, 1
22, 191, 2, 0, 1, 1
22, 192, 6, 3, 1, 1
22, 193, 3, 3, 1, 1
22, 194, 5, 0, 1, 1
22, 195, 3, 5, 1, 1
22, 196, 2, 0, 1, 1
22, 197, 4, 2, 1, 1
22, 198, 4, 0, 1, 1
22, 199, 1, 1, 1, 1
22, 200, 6, 0, 1, 1
22, 201, 3, 0, -1, -1
22, 202, 6, 0, 1, 1
22, 203, 2, 4, 1, 1
22, 204, 5, 2, -1, -1
22, 205, 2, 0, 1, 1
22, 206, 1, 0, 1, 1
22, 207, 6, 6, 1, 1
22, 208, 2, 0, 1, 1
22, 209, 2, 0, 1, 1
22, 210, 5, 3, 1, 1
22, 211, 5, 1, 1, 1
22, 212, 3, 0, 1, 1
22, 213, 6, 2, 1, 1
22, 214, 2, 4, -1, -1
22, 215, 3, 2, 1, 1
22, 216, 2, 2, 1, 1
