"observer","captured","thought","congC","medianRT","nTrials"
8,"direct","direct","incongruent",1.294407,9
8,"direct","direct","congruent",1.079017,13
8,"fixatedDistracter","captured","incongruent",1.987967,26
8,"fixatedDistracter","captured","congruent",1.994353,23
8,"fixatedDistracter","direct","incongruent",1.2086955,32
8,"fixatedDistracter","direct","congruent",1.291122,28
8,"none","captured","incongruent",1.415459,3
8,"none","captured","congruent",1.302793,1
8,"none","direct","incongruent",1.027073,9
8,"none","direct","congruent",1.0443235,18
8,"tooLong","captured","incongruent",1.840394,19
8,"tooLong","captured","congruent",1.912937,24
8,"tooLong","direct","incongruent",1.340571,34
8,"tooLong","direct","congruent",1.3899345,22
9,"direct","captured","incongruent",1.305061,7
9,"direct","captured","congruent",1.037743,3
9,"direct","direct","incongruent",0.95458,17
9,"direct","direct","congruent",0.916723,23
9,"fixatedDistracter","captured","incongruent",1.4617535,50
9,"fixatedDistracter","captured","congruent",1.4264455,48
9,"fixatedDistracter","direct","incongruent",1.013027,19
9,"fixatedDistracter","direct","congruent",1.022776,18
9,"none","captured","incongruent",1.2190435,4
9,"none","captured","congruent",1.2952845,6
9,"none","direct","incongruent",0.881235,36
9,"none","direct","congruent",0.949121,25
9,"tooLong","captured","incongruent",1.3883955,2
9,"tooLong","captured","congruent",1.297792,1
9,"tooLong","direct","incongruent",0.94016,3
9,"tooLong","direct","congruent",1.545309,3
11,"direct","captured","incongruent",1.291505,5
11,"direct","captured","congruent",2.649454,1
11,"direct","direct","incongruent",1.3118835,2
11,"fixatedDistracter","captured","incongruent",1.623909,123
11,"fixatedDistracter","captured","congruent",1.3952295,118
11,"fixatedDistracter","direct","incongruent",1.315383,5
11,"fixatedDistracter","direct","congruent",1.372646,21
11,"none","captured","incongruent",1.353142,2
11,"none","captured","congruent",1.264995,1
11,"tooLong","captured","incongruent",1.4699935,2
11,"tooLong","captured","congruent",1.160294,1
11,"tooLong","direct","incongruent",2.245313,1
11,"tooLong","direct","congruent",1.719384,1
12,"direct","captured","incongruent",3.900906,1
12,"direct","captured","congruent",1.697478,1
12,"direct","direct","incongruent",1.429798,37
12,"direct","direct","congruent",1.5731465,34
