"observer","trial","x","y","dur","onset","n","aoi","aoi2"
"9",244,0.600000000000023,-28,1278,0,1,"c","centre"
"9",244,-110.9,-67.7,24,50,2,"0","blank"
"9",244,-0.200000000000045,-239.4,168,258,3,"6","target"
"9",245,0.100000000000023,-39.3,1214,0,1,"c","centre"
"9",245,-201,-166.6,160,200,2,"5","target"
"9",246,-2.79999999999995,-31.3,1212,0,1,"c","centre"
"9",246,145.9,-44.8,82,116,2,"0","blank"
"9",246,195.8,-164.8,146,288,3,"1","target"
"9",247,6.79999999999995,-34.9,1206,0,1,"c","centre"
"9",248,6.20000000000005,-30.2,1192,0,1,"c","centre"
"9",248,-216.3,-47.8,140,178,2,"d4","distracter"
"9",249,5.39999999999998,-37.1,1208,0,1,"c","centre"
"9",249,-99.3,-249.4,114,164,2,"d5","distracter"
"9",249,-183.7,30.5,90,290,3,"d4","blank"
"9",250,6.60000000000002,-31.9,1206,0,1,"c","centre"
"9",250,-236.7,-37.4,60,114,2,"d4","distracter"
"9",251,-3.5,-23,1184,0,1,"c","centre"
"9",251,-91,200.8,100,154,2,"d3","distracter"
"9",251,-115.9,155.3,54,226,3,"d3","distracter"
"9",251,7.20000000000005,-304.2,110,400,4,"6","target"
"9",252,6.29999999999995,-29.4,1212,0,1,"c","centre"
"9",253,-1.10000000000002,-35.4,1204,0,1,"c","centre"
"9",254,2.29999999999995,-18.3,1200,0,1,"c","centre"
"9",254,-59.1,-208.9,90,130,2,"d5","distracter"
"9",254,213.4,-170.9,142,324,3,"1","target"
"9",255,-0.5,-24.2,1208,0,1,"c","centre"
"9",255,-176.3,59.6,92,132,2,"4","target"
"9",256,2.10000000000002,-21.7,1198,0,1,"c","centre"
"9",256,-182.2,63.4,98,136,2,"4","target"
"9",257,-9.29999999999995,-29.6,1232,0,1,"c","centre"
"9",257,-190.7,80.4,108,150,2,"4","target"
"9",258,-6.39999999999998,-34.8,1194,0,1,"c","centre"
"9",258,-103.4,147.4,266,304,2,"d3","distracter"
"9",258,-120.6,175.6,208,526,3,"d3","distracter"
"9",258,-245.2,-164.4,388,974,4,"5","target"
"9",259,-8.29999999999995,-32.2,1212,0,1,"c","centre"
"9",259,-192.4,-152.3,144,182,2,"5","target"
"9",260,1.20000000000005,-31.8,1226,0,1,"c","centre"
"9",260,132.1,-7.39999999999998,74,100,2,"0","blank"
"9",260,199.5,-193.2,90,238,3,"1","target"
"9",261,0.600000000000023,-40.9,1284,0,1,"c","centre"
"9",261,-138.3,37.9,84,118,2,"0","blank"
"9",262,-14.1,-38.8,206,0,1,"c","centre"
"9",262,-73.4,-0.899999999999977,92,112,2,"c","centre"
"9",262,-4.5,-39.2,78,210,3,"c","centre"
"9",262,10.9,-42.8,790,1012,4,"c","centre"
"9",262,194,55.5,114,1164,5,"2","target"
"9",263,-2.60000000000002,-32.2,1254,0,1,"c","centre"
"9",263,127.9,-193,276,314,2,"d6","distracter"
"9",263,-199.9,-185.9,116,478,3,"5","target"
"9",264,-16.9,-28.5,290,0,1,"c","centre"
"9",264,-7,-28.3,894,902,2,"c","centre"
"9",264,232.4,-23.4,100,1042,3,"d1","distracter"
"9",265,-2,-27.6,1208,0,1,"c","centre"
"9",265,-182.7,-130.9,128,168,2,"5","target"
"9",266,-3.39999999999998,-19.7,1092,0,1,"c","centre"
"9",267,-8,-33.8,1220,0,1,"c","centre"
"9",267,-163.7,50.6,82,114,2,"4","target"
"9",268,-6.20000000000005,-22.4,1212,0,1,"c","centre"
"9",268,-73.5,123.9,104,140,2,"0","blank"
"9",269,-4.79999999999995,-28.6,1214,0,1,"c","centre"
"9",269,198.8,62.9,84,122,2,"2","target"
"9",270,-4.20000000000005,-21.6,1224,0,1,"c","centre"
"9",270,175,39.5,88,122,2,"d1","blank"
"9",271,-7,-23.3,1206,0,1,"c","centre"
"9",271,-260.6,-47.9,426,468,2,"d4","distracter"
"9",272,-2.70000000000005,-29.1,1214,0,1,"c","centre"
"9",272,-118.2,130.3,70,110,2,"d3","distracter"
"9",272,-211.5,69.4,126,260,3,"4","target"
"9",273,-3.20000000000005,-27.4,1216,0,1,"c","centre"
"9",273,-102.1,164.5,116,156,2,"d3","distracter"
"9",274,-7,-26.6,1196,0,1,"c","centre"
"9",274,-210,71.6,124,166,2,"4","target"
"9",275,0.100000000000023,-33.2,1194,0,1,"c","centre"
"9",275,-220.4,77.3,184,226,2,"4","target"
"9",276,0.200000000000045,-35,1236,0,1,"c","centre"
"9",277,1.29999999999995,-39.4,1200,0,1,"c","centre"
"9",277,140.6,-18.9,92,124,2,"0","blank"
"9",278,-7.20000000000005,-32.4,512,0,1,"c","centre"
"9",278,-8.60000000000002,-30.9,672,682,2,"c","centre"
"9",278,215.1,70.6,146,866,3,"2","target"
"9",279,-3.5,-28.8,1180,0,1,"c","centre"
"9",279,-221.2,66.2,128,170,2,"4","target"
"9",280,-29.1,-15.5,168,0,1,"c","centre"
"9",280,-172.5,45.3,184,208,2,"d4","blank"
"9",280,-222.9,85.9,890,1116,3,"4","blank"
"9",280,149.4,12.8,198,1360,4,"0","blank"
"9",280,-210.1,-143.8,166,1586,5,"5","target"
"9",281,-9.39999999999998,-14.2,1188,0,1,"c","centre"
"9",281,233.2,-23,128,176,2,"d1","distracter"
"9",282,-1.39999999999998,-16,1228,0,1,"c","centre"
"9",283,-6.89999999999998,-24,1200,0,1,"c","centre"
"9",283,201.2,-162.6,132,182,2,"1","target"
"9",284,-4.5,-29.6,1206,0,1,"c","centre"
"9",284,-201.1,73.6,138,176,2,"4","target"
"9",285,-1.10000000000002,-35.1,1262,0,1,"c","centre"
"9",285,17.7,-290.5,96,152,2,"6","target"
"9",286,0.899999999999977,-26.9,1202,0,1,"c","centre"
"9",286,-107.8,-244.3,126,168,2,"d5","distracter"
"9",286,-13.7,175.8,112,324,3,"3","target"
"9",287,-5.39999999999998,-30.2,1224,0,1,"c","centre"
"9",287,19.3,179.6,60,100,2,"3","target"
"9",288,-11.4,-23.2,1214,0,1,"c","centre"
"9",289,-17.9,-18,1120,0,1,"c","centre"
"9",289,5.10000000000002,-266.8,200,240,2,"6","target"
"9",290,-6.70000000000005,-21.9,1202,0,1,"c","centre"
"9",290,84.5,103.5,96,134,2,"0","blank"
"9",291,-2.89999999999998,-33.8,1242,0,1,"c","centre"
"9",292,-7.29999999999995,-30.2,1308,0,1,"c","centre"
"9",292,-0.5,183.5,66,106,2,"3","target"
"9",293,1.5,-24.8,1230,0,1,"c","centre"
"9",293,-162.6,-33.6,88,124,2,"d4","distracter"
"9",293,-195.7,88.2,186,336,3,"4","target"
"9",294,-0.5,-27.9,1214,0,1,"c","centre"
"9",295,-0.600000000000023,-31.1,1208,0,1,"c","centre"
"9",295,22.5,193.7,70,114,2,"3","target"
"9",296,10.2,-27.7,98,0,1,"c","centre"
"9",296,-9.60000000000002,-32.6,1084,1092,2,"c","centre"
"9",296,17,-327.3,50,1196,3,"6","target"
"9",297,-17.8,-20.8,1252,0,1,"c","centre"
"9",297,210.3,-30.1,98,148,2,"d1","distracter"
"9",297,-207.4,98.2,146,360,3,"4","target"
"9",298,-5.89999999999998,-36.5,1336,0,1,"c","centre"
"9",298,111.2,0.399999999999977,102,124,2,"0","blank"
"9",298,210.2,77.8,196,344,3,"2","target"
"9",299,-2.29999999999995,-41.4,1238,0,1,"c","centre"
"9",299,-58.5,163.3,142,182,2,"d3","distracter"
"9",300,-12.5,-28,1258,0,1,"c","centre"
"9",300,179.8,71.9,118,158,2,"2","target"
"9",301,-6,-19.2,1232,0,1,"c","centre"
"9",302,-6.29999999999995,-32.9,1212,0,1,"c","centre"
"9",302,254.5,-40.9,90,130,2,"d1","distracter"
"9",303,-8.70000000000005,-31.3,1264,0,1,"c","centre"
"9",303,103.1,-178.4,46,82,2,"d6","distracter"
"9",303,-238.7,96,864,998,3,"4","target"
"9",304,-5.60000000000002,-32.2,1246,0,1,"c","centre"
"9",305,-14.1,-22.4,1216,0,1,"c","centre"
"9",305,184.8,-132.8,138,174,2,"1","target"
"9",306,-4.39999999999998,-29.7,1204,0,1,"c","centre"
"9",306,109.5,119.7,146,184,2,"0","blank"
"9",307,-0.700000000000045,-34.5,1266,0,1,"c","centre"
"9",307,-73.2,92.8,68,102,2,"0","blank"
"9",308,-7.70000000000005,-23.8,1180,0,1,"c","centre"
"9",308,57.5,183.1,116,158,2,"d2","distracter"
"9",309,-5.39999999999998,-33.5,1196,0,1,"c","centre"
"9",310,-1.60000000000002,-37.7,1214,0,1,"c","centre"
"9",310,96.9000000000001,66.8,92,116,2,"0","blank"
"9",310,194.3,62.3,102,244,3,"2","target"
"9",311,-0.5,-39.8,1226,0,1,"c","centre"
"9",312,-5.60000000000002,-31.1,1240,0,1,"c","centre"
"9",312,-100.7,-237.6,218,258,2,"d5","distracter"
"9",312,-25.4,190.1,104,416,3,"3","target"
"9",312,-4.5,221.7,248,678,4,"3","target"
"9",313,-3.79999999999995,-25.7,1244,0,1,"c","centre"
"9",313,-209.5,-148.3,146,186,2,"5","target"
