"observer","trial","x","y","dur","n","aoi","aoi2"
"18",192,640.1,696.9,29,4,"0","blank"
"18",193,-12.7,-24.9,1429,1,"c","centre"
"18",194,11.1,1.20000000000005,986,1,"c","centre"
"18",194,-8,-44.1,32,2,"c","centre"
"18",194,-23.3,28.3,288,3,"c","centre"
"18",194,134,-63.7,126,4,"0","blank"
"18",194,229.8,-212.8,188,5,"1","target"
"18",195,-6.39999999999998,-4.70000000000005,177,1,"c","centre"
"18",195,-1.60000000000002,-5,1121,2,"c","centre"
"18",195,168.8,93.4,167,3,"2","target"
"18",196,-6.89999999999998,-31.9,1607,1,"c","centre"
"18",196,-227,124.2,1271,2,"4","target"
"18",196,-246.8,1.79999999999995,11,3,"d4","blank"
"18",197,-1.60000000000002,-9.70000000000005,1301,1,"c","centre"
"18",197,-1.70000000000005,241.1,881,2,"3","target"
"18",198,-5.60000000000002,-19.5,548,1,"c","centre"
"18",198,-14.2,-81.5,28,2,"c","centre"
"18",198,-8.29999999999995,10.7,660,3,"c","centre"
"18",198,-4.70000000000005,250.5,822,4,"3","target"
"18",199,46.2,-12.8,317,1,"c","centre"
"18",199,51.8,13.3,946,2,"c","centre"
"18",199,0.5,250,580,3,"3","target"
"18",200,-7.39999999999998,-16.7,1242,1,"c","centre"
"18",200,101.7,207.1,327,2,"d2","distracter"
"18",200,208.1,-159.2,247,3,"1","target"
"18",201,-17.7,-34.1,1442,1,"c","centre"
"18",202,-11.7,-29.2,1486,1,"c","centre"
"18",203,-13,-17.1,1497,1,"c","centre"
"18",203,-191.5,-122.2,136,2,"5","target"
"18",204,-9.79999999999995,-15.5,1507,1,"c","centre"
"18",204,-1.60000000000002,-258.2,220,2,"6","target"
"18",205,-0.700000000000045,-15.1,1565,1,"c","centre"
"18",206,1.39999999999998,-7.10000000000002,1606,1,"c","centre"
"18",207,3.5,-25.3,1550,1,"c","centre"
"18",208,23.5,10,1546,1,"c","centre"
"18",208,-176.5,128.1,136,2,"4","target"
"18",209,-5.20000000000005,-26.3,1255,1,"c","centre"
"18",209,153,-132.5,195,2,"1","target"
"18",210,-3.70000000000005,-12.2,1418,1,"c","centre"
"18",210,-212.4,111.9,378,2,"4","target"
"18",210,-242.5,52.7,22,3,"d4","blank"
"18",211,-0.399999999999977,-22.9,1488,1,"c","centre"
"18",211,-14.9,-325.4,118,2,"6","target"
"18",211,2.89999999999998,-298.2,266,3,"6","target"
"18",212,-9.79999999999995,-32.5,1217,1,"c","centre"
"18",212,-180.4,-115.5,153,2,"5","target"
"18",213,-7.5,-2.70000000000005,613,1,"c","centre"
"18",213,50.2,13.9,629,2,"c","centre"
"18",213,293,-134.1,279,3,"1","target"
"18",214,-3.20000000000005,-32.6,1398,1,"c","centre"
"18",214,-32.7,-321.7,121,2,"6","target"
"18",215,1.79999999999995,15.2,935,1,"c","centre"
"18",216,-12.2,-23,1279,1,"c","centre"
"18",217,-9.20000000000005,-25.9,1235,1,"c","centre"
"18",217,46.2,-208.4,258,2,"6","target"
"18",217,4.5,-271.9,1303,3,"6","target"
"18",217,69.5,-253.5,554,4,"d6","distracter"
"18",218,-4.89999999999998,-36.3,1453,1,"c","centre"
"18",219,0.100000000000023,-21.9,1347,1,"c","centre"
"18",219,201.5,109.7,501,2,"2","target"
"18",220,-3.20000000000005,-2,320,1,"c","centre"
"18",220,44.5,102.1,1060,2,"0","blank"
"18",221,-10.6,-27.1,915,1,"c","centre"
"18",221,-8.79999999999995,3.39999999999998,526,2,"c","centre"
"18",222,-6.89999999999998,-29.8,1255,1,"c","centre"
"18",222,-122,210.3,167,2,"d3","distracter"
"18",223,12.2,-14.9,24,1,"c","centre"
"18",223,1.20000000000005,-3.5,1413,2,"c","centre"
"18",223,218.5,115.1,341,3,"2","target"
"18",224,-4.70000000000005,-25.2,1232,1,"c","centre"
"18",224,-79.7,195,180,2,"d3","distracter"
"18",224,-49.7,242.1,194,3,"3","target"
"18",225,-2.79999999999995,-23.6,1375,1,"c","centre"
"18",225,-200.7,-129.3,121,2,"5","target"
"18",226,-6.20000000000005,-19.1,1485,1,"c","centre"
"18",226,-213.5,107.1,347,2,"4","target"
"18",227,-5.10000000000002,-24.6,1392,1,"c","centre"
"18",227,90.9000000000001,49.3,152,2,"0","blank"
"18",228,-1.60000000000002,-32.3,1313,1,"c","centre"
"18",228,81.9000000000001,-245.7,185,2,"d6","distracter"
"18",229,2.5,8.60000000000002,340,1,"c","centre"
"18",230,-10.3,-33.8,1460,1,"c","centre"
"18",230,-195.6,-137.1,162,2,"5","target"
"18",231,5,-20,1445,1,"c","centre"
"18",231,173.2,-156.5,143,2,"1","target"
"18",232,1.39999999999998,-13.2,1502,1,"c","centre"
"18",233,-11,-31.7,1377,1,"c","centre"
"18",234,4.60000000000002,-4,1282,1,"c","centre"
"18",234,199.1,-15.8,195,2,"d1","distracter"
"18",235,-0.100000000000023,-24.9,490,1,"c","centre"
