"observer","thought","captured","congC","medianOnset","nTrials"
1,"captured","direct","congruent",568,3
1,"captured","direct","incongruent",765,1
1,"captured","direct","no distracter",494,23
1,"captured","fixatedDistracter","congruent",667.5,20
1,"captured","fixatedDistracter","incongruent",725,28
1,"captured","tooLong","congruent",1076.5,2
1,"captured","tooLong","incongruent",496,2
1,"captured","tooLong","no distracter",682,2
1,"direct","direct","congruent",428,36
1,"direct","direct","incongruent",475,32
1,"direct","direct","no distracter",468.5,206
1,"direct","fixatedDistracter","congruent",592,57
1,"direct","fixatedDistracter","incongruent",646,59
1,"direct","none","no distracter",388,1
1,"direct","tooLong","congruent",510.5,20
1,"direct","tooLong","incongruent",617,19
1,"direct","tooLong","no distracter",515,45
2,"captured","direct","congruent",963,3
2,"captured","direct","incongruent",549,5
2,"captured","direct","no distracter",509,5
2,"captured","fixatedDistracter","congruent",933,19
2,"captured","fixatedDistracter","incongruent",1243,13
2,"captured","tooLong","congruent",992,5
2,"captured","tooLong","incongruent",964,4
2,"captured","tooLong","no distracter",1184,2
2,"direct","direct","congruent",771,41
2,"direct","direct","incongruent",819,42
2,"direct","direct","no distracter",979.5,220
2,"direct","fixatedDistracter","congruent",1068,44
2,"direct","fixatedDistracter","incongruent",935.5,44
2,"direct","none","congruent",1202,1
2,"direct","none","incongruent",336,1
2,"direct","none","no distracter",665,12
2,"direct","tooLong","congruent",972,21
2,"direct","tooLong","incongruent",1020,28
2,"direct","tooLong","no distracter",1187,35
3,"captured","direct","congruent",320,10
3,"captured","direct","incongruent",401,13
3,"captured","direct","no distracter",440,3
3,"captured","fixatedDistracter","congruent",509,26
3,"captured","fixatedDistracter","incongruent",675,22
3,"captured","tooLong","congruent",798.5,10
3,"captured","tooLong","incongruent",758,6
3,"direct","direct","congruent",423.5,36
3,"direct","direct","incongruent",441.5,44
3,"direct","direct","no distracter",441.5,228
3,"direct","fixatedDistracter","congruent",593,34
3,"direct","fixatedDistracter","incongruent",527.5,36
3,"direct","none","congruent",302,1
3,"direct","none","no distracter",378,2
3,"direct","tooLong","congruent",646,14
3,"direct","tooLong","incongruent",304.5,10
3,"direct","tooLong","no distracter",688,35
