observer,trial,x,y,dur,n
1,40,952.4,542.1,1200,1
1,40,949.8,807.5,122,2
1,40,956,788.4,224,3
1,40,666.1,1992.6,125,4
1,41,952,548.3,1207,1
1,41,1092.5,733,52,2
1,41,737,653.6,842,3
1,41,733.4,1023.9,24,4
1,42,954.7,553,1199,1
1,42,886.9,381.9,97,2
1,42,938,279.4,302,3
1,42,950.6,271.8,466,4
1,42,662.6,2046.5,244,5
1,43,952.8,552.5,1234,1
1,43,966.6,362.4,44,2
1,43,956.8,297.6,165,3
1,43,956.6,282.2,390,4
1,43,686.6,2003.8,193,5
1,44,952.7,546.7,1230,1
1,44,1158.6,665.1,256,2
1,44,1170.4,659.5,620,3
1,44,698.4,2078.2,228,4
1,45,951.5,552.4,1300,1
1,45,948.2,782.5,1538,2
1,45,684.6,2087.5,203,3
1,45,923,810.8,121,4
1,45,948.1,776.4,2119,5
1,45,953.9,780.9,576,6
1,45,961.3,743.5,156,7
1,45,798.2,597.5,80,8
1,45,727.8,553,176,9
1,46,950.4,551.2,1220,1
1,46,1172.4,577.1,47,2
1,46,1151.1,443.8,217,3
1,46,1158.8,424.1,618,4
1,47,953.6,543.8,447,1
1,47,956.7,546.5,604,2
1,47,826.3,386.2,160,3
1,47,735.6,412.4,870,4
1,48,951.2,542.8,1239,1
1,48,738.2,518.3,170,2
1,48,727.8,411.6,760,3
1,48,699.6,1952.8,188,4
1,49,947.6,547.4,1212,1
1,49,965.8,331.5,61,2
1,49,961.4,313.3,100,3
1,49,958.3,271.5,503,4
1,50,948.7,547.3,1172,1
1,50,739.2,447.6,128,2
1,50,740.2,410.4,452,3
1,51,954.6,540.7,1242,1
1,51,961.9,805.3,203,2
1,51,957,784.8,350,3
1,51,649.3,2129.7,187,4
1,51,694.4,2044.4,874,5
1,51,919.3,731.4,124,6
1,51,967.7,758.8,326,7
1,51,709.4,1970.8,184,8
1,52,959.3,546.4,646,1
1,52,953.3,550.3,410,2
1,52,1062.7,351.7,169,3
1,52,1082.6,313.2,109,4
1,52,1187.1,674.4,607,5
1,53,952.2,544,1195,1
1,53,1078.2,751.5,86,2
1,53,1159.1,423,588,3
1,53,1178.9,425.5,255,4
1,53,1168.2,421.2,931,5
1,53,1214.6,498.1,78,6
1,53,1171.7,430.4,87,7
1,53,687.5,2020.7,36,8
1,53,688,2054.3,75,9
1,53,692.6,1999.4,346,10
1,53,743.1,2102.2,136,11
1,53,1146.7,437.3,212,12
1,53,1168.7,431.7,464,13
1,53,1170.8,429.7,771,14
1,53,1174.3,545.3,65,15
1,53,1176,612.7,66,16
1,53,1172.9,639.6,560,17
1,54,955.8,549.3,1197,1
1,54,1198.4,574.4,125,2
1,54,1199.9,566.5,145,3
1,54,1183.2,665.5,427,4
1,54,703.5,2079,294,5
1,55,952.9,552.4,1209,1
1,55,957.4,815.3,133,2
1,55,959.5,792.8,221,3
1,55,959,780.6,814,4
1,56,956.5,552.5,1262,1
1,56,1145.9,641.7,144,2
1,56,1181.6,654.7,478,3
1,57,952.5,552.4,1210,1
1,57,755.1,651.2,178,2
1,57,732.7,662.6,264,3
1,59,951.2,554.7,1233,1
1,59,958.9,798,620,2
1,60,955.6,547.2,1216,1
1,60,1173.6,661.1,295,2
1,60,1195.1,658.1,423,3
1,60,1197.7,654,310,4
1,60,569.6,2083.3,155,5
1,60,681.5,2026.4,193,6
1,60,1217.6,641.5,156,7
1,60,1191.7,661.3,165,8
1,60,717.7,1937.1,91,9
1,61,957.3,540.2,1210,1
1,61,1071.2,720.4,90,2
1,61,1162.7,426.8,1764,3
1,61,672,2056,179,4
1,61,1145.7,429.9,650,5
1,61,1159.5,421.7,1574,6
1,62,944,547.1,1182,1
1,62,882.6,343.5,112,2
1,62,957.6,267.4,1142,3
1,62,704.7,1927,149,4
1,63,950.7,544.8,1223,1
1,63,1199.4,557.3,218,2
1,63,688.3,693.1,97,3
1,63,729,665,383,4
1,63,645.4,2059.2,317,5
1,64,951.7,551.9,1203,1
1,64,1047.9,338.5,159,2
1,64,973.4,285.8,156,3
1,64,949.4,276.1,386,4
1,64,583,1986.2,102,5
1,64,684.6,2025.5,138,6
1,64,953.5,315,357,7
1,65,951.5,543.1,1195,1
1,65,954.2,785.8,487,2
1,66,952.9,547.3,1268,1
1,66,808.6,460.5,82,2
1,66,741,413.9,477,3
1,67,953.6,549.7,441,1
1,67,954.8,551.3,557,2
1,67,1173.5,654.7,331,3
1,68,953.7,551.5,1210,1
1,68,726.1,694.4,121,2
1,68,731.8,672.7,351,3
1,68,670.9,2058.5,495,4
1,68,655.2,1910.6,64,5
1,68,759.2,589.2,154,6
1,69,951.9,546.8,1200,1
1,69,957.8,300.1,552,2
1,69,728.6,1983.5,115,3
1,70,950.1,552.6,1193,1
1,70,968.7,813.3,87,2
1,70,957.6,786.3,382,3
1,70,712.7,2060.3,189,4
1,70,685,2057.1,413,5
1,70,930.7,709,124,6
1,71,951.7,550.2,1187,1
1,71,1051.5,341.6,182,2
1,71,1088.6,344.7,45,3
1,71,1157.7,438.3,242,4
1,71,1169.2,440,311,5
1,72,948.7,555.4,1181,1
1,72,954.7,274.5,295,2
1,72,668.1,2046.3,159,3
1,73,950.8,545.9,1196,1
1,73,863.7,782.7,132,2
1,73,951.1,791,513,3
1,74,944.3,548.6,1209,1
1,74,1189.8,571.6,106,2
1,74,796.7,659.3,153,3
1,74,735,666.1,500,4
1,75,946.5,554.3,1194,1
1,75,862.7,389.2,99,2
1,75,830.2,316.8,377,3
1,75,737.6,414.9,436,4
1,76,947.6,560.2,1324,1
1,76,796.6,629.3,131,2
1,76,733.1,666,769,3
1,76,734.6,663.3,1553,4
1,76,862.4,402.8,101,5
1,76,929.3,341.4,129,6
1,76,741.5,689.7,143,7
1,76,734.4,670.7,381,8
1,76,767.4,671.4,274,9
1,76,887,679.1,215,10
1,76,972.8,373.8,107,11
1,76,950.8,305.1,263,12
1,76,755.9,413.4,167,13
1,76,966.9,323.8,224,14
1,76,731,650.5,505,15
1,76,729.1,671,579,16
1,76,714.5,662.9,364,17
1,77,945.7,551.6,1212,1
1,77,1067.3,355.2,196,2
1,77,1076.2,330.7,107,3
1,77,1162.2,665.1,630,4
