"observer","trial","x","y","dur","onset","offset","n","aoi2","aoi"
"3",83,-10.7,-7.60000000000002,521,650,6419291,3,"centre","c"
"3",83,-173.2,-78.8,97,1202,6419419,4,"target","5"
"3",83,-229.7,-119.9,587,1320,6420027,5,"target","5"
"3",84,-7.29999999999995,-8.29999999999995,1215,0,6428486,1,"centre","c"
"3",84,-91.1,176.4,82,1256,6428609,2,"distracter","d3"
"3",84,-116.7,216.4,73,1361,6428705,3,"distracter","d3"
"3",84,1.5,250.6,458,1460,6429189,4,"target","3"
"3",85,-4.70000000000005,-9.79999999999995,363,0,6434301,1,"centre","c"
"3",85,-7.89999999999998,113.8,47,517,6434502,2,"blank","0"
"3",85,-5.89999999999998,-34.7,137,595,6434670,3,"centre","c"
"3",85,-8.70000000000005,-10.9,438,744,6435120,4,"centre","c"
"3",85,-214.1,-20.3,115,1209,6435262,5,"distracter","d4"
"3",85,-245.3,90.1,61,1363,6435362,6,"target","4"
"3",85,-241.3,129.1,506,1441,6435885,7,"target","4"
"3",86,-18.4,-13,160,0,6439382,1,"centre","c"
"3",86,-21,-23.8,136,308,6439666,2,"centre","c"
"3",86,-10.5,-8.5,809,451,6440482,3,"centre","c"
"3",86,6.70000000000005,-200.3,89,1309,6440620,4,"target","6"
"3",86,-8.79999999999995,-236.6,426,1411,6441059,5,"target","6"
"3",87,-5.29999999999995,-9.5,1307,0,6447514,1,"centre","c"
"3",87,163.6,100.5,94,1346,6447647,2,"target","2"
"3",87,214.6,134,328,1458,6447993,3,"target","2"
"3",88,-4.70000000000005,-9.60000000000002,1325,0,6454583,1,"centre","c"
"3",88,8.70000000000005,-150.7,73,1360,6454691,2,"blank","0"
"3",88,-5.5,-240.3,481,1456,6455195,3,"target","6"
"3",89,2.29999999999995,-8.29999999999995,1478,0,6461502,1,"centre","c"
"3",89,262.3,8.39999999999998,430,1516,6461970,2,"distracter","d1"
"3",89,226.4,-142.7,310,1979,6462313,3,"target","1"
"3",90,-6.89999999999998,-12,397,0,6468583,1,"centre","c"
"3",90,-5.89999999999998,-34,57,541,6468784,2,"centre","c"
"3",90,-5.60000000000002,-11.5,627,611,6469424,3,"centre","c"
"3",90,-72.3,173.3,47,1279,6469512,4,"distracter","d3"
"3",90,-143.8,204.2,82,1360,6469628,5,"distracter","d3"
"3",90,-228.5,108.6,130,1468,6469784,6,"target","4"
"3",90,-239.2,135.1,254,1612,6470052,7,"target","4"
