observer,trial,x,y,dur,onset,offset,n
1_1,1,948,551.5,1365,0,490956,1
1_1,1,833.7,361.8,227,1403,491221,2
1_1,1,729.1,672.4,1239,1671,492501,3
1_1,2,951.1,558.6,1277,0,496466,1
1_1,2,1152.9,407.8,949,1317,497455,2
1_1,3,957.4,519.5,1385,0,505343,1
1_1,3,941.4,317.7,784,1421,506163,2
1_1,4,947.7,519.8,490,0,511472,1
1_1,4,1006,360.1,786,528,512296,2
1_1,4,852.7,656.7,154,1359,512495,3
1_1,4,963.1,746.2,801,1542,513325,4
1_1,5,951.7,546.4,1344,0,523288,1
1_1,5,749.1,636.9,471,1383,523798,2
1_1,6,960.8,554.9,1379,0,529825,1
1_1,6,743.9,452.9,759,1417,530622,2
1_1,7,967.8,549.9,1381,0,538243,1
1_1,7,1236,647.9,151,1435,538448,2
1_1,7,1239.5,669.9,644,1759,539265,3
1_1,8,939.3,542.7,1467,0,550797,1
1_1,8,978.7,775.2,737,1506,551573,2
1_1,9,953.9,546.7,1449,0,558948,1
1_1,9,783.9,614.3,577,1745,559821,2
1_1,10,944.4,552.6,2155,0,574122,1
1_1,11,929.3,552.5,1938,0,582406,1
1_1,12,942.4,539.9,2045,0,592030,1
1_1,13,948,534.7,2388,0,601390,1
1_1,14,940,523.7,1996,0,608582,1
1_1,15,934.4,546.9,2095,0,626834,1
1_1,16,936.2,547.7,1743,0,632582,1
1_1,16,1019.6,737.8,5,1803,632647,2
1_1,17,940.6,551.9,479,0,636597,1
1_1,17,984.8,539,1047,494,637659,2
1_1,17,1187.2,651.8,551,1584,638253,3
1_1,18,943.1,538.2,625,0,645715,1
1_1,18,957,535.2,1714,632,647436,2
1_1,19,946,551.5,1442,0,653766,1
1_1,19,818.4,634.3,537,1481,654342,2
1_1,20,959.2,556.6,3495,0,662203,1
1_1,21,956.5,570.5,1400,0,666809,1
1_1,21,748.5,467.4,724,1434,667567,2
1_1,22,959.2,551.3,1580,0,674457,1
1_1,22,978.2,792.5,383,1632,674892,2
1_1,23,942.5,555.4,2146,0,684773,1
1_1,24,938.2,537.6,1479,0,692224,1
1_1,24,814.1,579.2,722,1508,692975,2
1_1,25,943.1,532.9,2051,0,700746,1
1_1,26,941.9,546.1,1386,0,708200,1
1_1,26,960.9,328.4,645,1430,708889,2
1_1,27,955.9,539.2,2014,0,716144,1
1_1,28,945.1,535.5,279,0,722493,1
1_1,28,959.5,454,594,411,723219,2
1_1,28,943.7,499.3,1268,1021,724503,3
1_1,29,942.9,537.5,2096,0,733096,1
1_1,30,928.6,535.5,2841,0,742069,1
1_1,31,946.9,550.6,1641,0,748341,1
1_1,32,948.3,546.5,1338,0,756807,1
1_1,32,1125.1,625.6,410,1379,757258,2
1_1,33,945.7,539.4,1518,0,765071,1
1_1,34,934.5,550.3,2123,0,773862,1
1_1,35,938.2,520.7,2133,0,782021,1
1_1,36,937.4,536.5,1583,0,788588,1
1_1,36,931.4,559.6,787,1796,789588,2
1_1,37,947,527.4,1811,0,796716,1
1_1,38,937.7,552.4,2124,0,803612,1
1_1,39,941.9,542.7,2143,0,816300,1
1_1,40,957.1,551,2146,0,823488,1
1_1,41,958.3,536.3,1745,0,830854,1
1_1,41,832.7,563.5,594,1773,831476,2
1_1,41,738.8,652.1,368,2391,831868,3
1_1,42,943.5,568,78,0,835199,1
1_1,42,969.9,535.7,1348,91,836560,2
1_1,42,729.8,415.8,728,1474,837323,3
1_1,43,939.4,511.8,2258,0,848152,1
1_1,44,951.8,551.5,2072,0,855404,1
1_1,45,951.5,556.6,2203,0,862259,1
1_1,46,963.3,558.8,2661,0,871791,1
1_1,47,976.5,538.4,2163,0,877426,1
1_1,48,943.3,546,2122,0,887054,1
1_1,49,951.2,540.3,2152,0,896517,1
1_1,50,923.7,544.1,2176,0,913292,1
1_1,51,932,533.6,1310,0,932178,1
1_1,51,899.8,440.1,21,1334,932223,2
1_1,51,1146.3,410.8,554,1390,932812,3
1_1,52,946.4,552.3,1451,0,938404,1
1_1,52,726.8,439,560,1488,939001,2
1_1,53,945.3,535.4,1307,0,946571,1
1_1,53,877.7,365.9,144,1341,946749,2
1_1,53,959.6,325,807,1505,947576,3
1_1,54,949.2,555.9,1387,0,954308,1
1_1,54,955.9,351.7,597,1428,954946,2
1_1,55,948,560,1311,0,960499,1
1_1,55,1145.3,599.3,584,1347,961119,2
1_1,56,971.3,566.4,2713,0,969036,1
1_1,57,946.2,573.3,2006,0,974428,1
1_1,58,942.4,551.9,419,0,981193,1
1_1,58,984.2,532.5,1570,435,982779,2
1_1,59,929.1,545.7,1722,0,991479,1
1_1,59,721.6,444.4,762,1762,992281,2
1_1,61,938.4,560,2630,0,1010889,1
1_1,62,921.6,534.8,1715,0,1016643,1
1_1,63,964.6,541.7,2114,0,1023492,1
1_1,64,953.6,535.5,1473,0,1028755,1
1_1,64,1194.3,542.5,875,1512,1029669,2
1_1,65,941.4,471.1,2190,0,1036236,1
1_1,66,953.2,537.8,1102,0,1041548,1
1_1,66,984.2,489.8,779,1121,1042346,2
1_1,67,930,538.4,2142,0,1052472,1
1_1,68,937.7,544.8,1954,0,1059948,1
1_1,69,931.2,543,2632,0,1066281,1
1_1,70,944.2,548.4,2057,0,1075340,1
1_1,71,946.9,545.3,2429,0,1081880,1
1_1,72,939.3,544.2,1933,0,1087667,1
1_1,73,955.2,554.9,1842,0,1094612,1
1_1,74,959,535.9,451,0,1123255,1
1_1,74,942.7,354.7,406,492,1123702,2
1_1,74,991.4,519.9,285,932,1124021,3
1_1,74,1063.3,339.5,143,1254,1124201,4
1_1,74,753.4,400.7,622,1439,1124865,5
1_1,75,945.9,527.4,455,0,1130460,1
1_1,75,978.7,361.7,574,491,1131070,2
1_1,75,1007.3,507.3,286,1089,1131380,3
1_1,75,719.7,652.2,894,1419,1132318,4
1_1,76,955,559.2,1333,0,1144772,1
1_1,76,882.7,340,134,1370,1144943,2
1_1,76,964.5,310.1,919,1524,1145882,3
1_1,77,943.2,540.4,1307,0,1153530,1
1_1,77,952.5,356.5,697,1338,1154258,2
1_1,78,957,522.5,1444,0,1159919,1
1_1,78,953.7,346,585,1476,1160536,2
1_1,79,947,522.1,1974,0,1170083,1
1_1,80,962.3,559.1,2520,0,1177362,1
1_1,81,953.8,522.3,1905,0,1184116,1
1_1,82,943.2,547.4,2564,0,1193508,1
1_1,83,952.7,541.3,1520,0,1198381,1
1_1,83,758.1,651.4,416,1555,1198832,2
1_1,84,940.2,542.4,2101,0,1205013,1
1_1,85,943.7,551,1338,0,1210218,1
1_1,85,967.1,325.5,537,1374,1210791,2
1_1,86,943.2,553.3,1382,0,1217012,1
1_1,86,950,312.7,556,1418,1217604,2
1_1,87,933.3,529.5,1289,0,1226421,1
1_1,87,1152.4,478.9,597,1321,1227050,2
1_1,88,939.9,529.9,2122,0,1233253,1
1_1,89,958.1,525.3,2054,0,1239486,1
1_1,90,949,548.8,1492,0,1244928,1
1_1,90,961.1,347.2,436,1526,1245398,2
1_1,91,951.3,555.6,1373,0,1255591,1
1_1,91,998.7,686.9,529,1401,1256148,2
1_1,92,944.7,542.2,400,0,1261485,1
1_1,92,966.6,375,587,431,1262103,2
1_1,92,962.6,538.3,258,1044,1262387,3
1_1,92,1191.5,438.6,849,1341,1263275,4
1_1,93,957.1,535.8,1388,0,1269926,1
1_1,93,956,334.3,493,1423,1270454,2
1_1,94,947.8,538,1406,0,1276359,1
1_1,94,740.5,462.7,570,1442,1276965,2
1_1,95,949.4,537.6,1846,0,1284634,1
1_1,96,980.2,536.6,1510,0,1291098,1
1_1,96,724.5,583.4,404,1546,1291538,2
1_1,97,956.9,526.2,1397,0,1298285,1
1_1,97,1230.8,450.5,178,1436,1298502,2
1_1,97,1182,433.1,380,1629,1298897,3
1_1,98,953.7,497.3,1293,0,1304298,1
1_1,98,737.1,500.3,120,1331,1304456,2
1_1,98,748.6,439.9,561,1470,1305036,3
1_1,99,932.8,520,1287,0,1313927,1
1_1,99,1165.7,622.9,493,1327,1314460,2
1_1,100,949.1,542.3,1314,0,1319242,1
1_1,100,960.6,340.1,507,1350,1319785,2
1_1,101,944.9,525.8,1435,0,1343262,1
1_1,101,1008.7,746,122,1475,1343424,2
1_1,101,937,770.9,397,1618,1343842,3
1_1,102,955.3,539.3,2071,0,1353131,1
1_1,104,947.6,540,2019,0,1368731,1
1_1,105,955.9,542.7,1493,0,1373472,1
1_1,105,725.4,426.6,415,1534,1373928,2
1_1,106,938.2,514.5,1371,0,1381460,1
1_1,106,979.7,619.9,522,1401,1382012,2
1_1,107,970.6,554.6,1346,0,1386693,1
1_1,107,980.6,352.9,142,1383,1386872,2
1_1,107,974,318.2,318,1540,1387205,3
1_1,108,948.3,533.4,1278,0,1393093,1
1_1,108,1190.6,607.6,559,1320,1393694,2
1_1,109,967.9,537.9,1291,0,1398185,1
1_1,109,1000.2,692.4,289,1317,1398500,2
1_1,109,959.2,762.4,576,1627,1399097,3
1_1,110,957,552.8,489,0,1402587,1
1_1,110,968.8,549.5,981,497,1403576,2
1_1,110,710.4,677.4,452,1524,1404074,3
1_1,111,943.1,555.8,1794,0,1413061,1
1_1,112,950.1,547.2,1476,0,1418459,1
1_1,113,968.5,539.5,1035,0,1428086,1
1_1,113,961.2,539.5,588,1249,1428888,2
1_1,113,960.6,324.3,898,1875,1429824,3
1_1,114,949,550.1,453,0,1432604,1
1_1,114,981.1,544.6,823,464,1433438,2
1_1,114,995.2,670.5,610,1314,1434075,3
1_1,115,956.2,560.3,1385,0,1441038,1
1_1,115,670.6,591.6,83,1578,1441314,2
1_1,115,747.3,667.4,251,1684,1441588,3
1_1,116,953.9,544.6,1462,0,1448132,1
1_1,116,737.6,670,345,1502,1448517,2
1_1,117,963,538.5,1288,0,1453308,1
1_1,117,993,701.6,494,1316,1453830,2
1_1,118,953.8,569.1,1827,0,1460415,1
1_1,119,947.7,560,1406,0,1465544,1
1_1,119,992.4,782.5,456,1448,1466042,2
1_1,120,962.2,554.4,1272,0,1471845,1
1_1,120,994.7,681.1,441,1299,1472313,2
1_1,121,960.8,541,1491,0,1477839,1
1_1,121,759.2,447.7,386,1526,1478260,2
1_1,122,964.5,514.8,1411,0,1483101,1
1_1,122,1184,438.5,487,1451,1483628,2
1_1,123,959.7,528.7,1235,0,1489292,1
1_1,123,930.3,459.3,212,1532,1489801,2
1_1,123,1080.7,516.9,137,1851,1490045,3
1_1,124,949.6,554.6,1442,0,1496933,1
1_1,124,1017,732.7,475,1470,1497436,2
1_1,125,945.5,554.5,1738,0,1505060,1
1_1,126,971.1,512.9,1767,0,1511276,1
1_1,127,927.9,544.2,1307,0,1516583,1
1_1,127,781.4,612.4,544,1340,1517160,2
1_1,128,943.3,514.1,1771,0,1522449,1
1_1,129,973.9,548.7,1965,0,1528359,1
1_1,130,950.9,526.9,1930,0,1534315,1
1_1,131,946.2,526,2061,0,1540366,1
1_1,132,939.5,553.1,1850,0,1546565,1
1_1,133,946.5,567,632,0,1550646,1
1_1,133,974.2,556.8,1243,640,1551897,2
1_1,134,956.7,560.3,1373,0,1561821,1
1_1,134,1193.5,460.9,591,1413,1562452,2
1_1,135,960.4,562.5,1340,0,1567823,1
1_1,135,996.8,723.3,498,1374,1568355,2
1_1,136,959.3,572.9,1567,0,1574254,1
1_1,137,954.4,550.4,1477,0,1581680,1
1_1,138,954.8,531.5,445,0,1585813,1
1_1,138,985.7,535.7,1524,458,1587350,2
1_1,139,941.9,563.9,1156,0,1597724,1
1_1,139,999.8,564.6,587,1357,1598512,2
1_1,140,910.5,556.7,1395,0,1611264,1
1_1,141,924,552.4,1361,0,1617331,1
1_1,141,982.6,659.5,471,1384,1617825,2
1_1,142,920.1,552.1,2010,0,1627048,1
1_1,143,923,534.7,2104,0,1634142,1
1_1,144,945.9,563.1,2236,0,1642250,1
