"","observer","congC","targDiscrim"
"1","1_1","no distracter",0.973333333333333
"2","1_2","no distracter",0.993421052631579
"3","1_3","no distracter",0.980132450331126
"4","1_4","no distracter",0.810457516339869
"5","1_5","no distracter",0.993377483443709
"6","2_1","no distracter",0.945205479452055
"7","2_2","no distracter",0.980132450331126
"8","2_3","no distracter",0.98
"9","2_4","no distracter",0.966442953020134
"10","2_5","no distracter",0.933333333333333
"11","3_1","no distracter",0.940397350993378
"12","3_2","no distracter",0.790540540540541
"13","3_3","no distracter",0.967105263157895
"14","3_4","no distracter",0.986666666666667
"15","3_5","no distracter",0.918918918918919
"16","4_1","no distracter",0.906666666666667
"17","4_2","no distracter",0.972972972972973
"18","4_3","no distracter",0.92156862745098
"19","4_4","no distracter",0.88961038961039
"20","4_5","no distracter",0.901315789473684
"21","5_1","no distracter",0.946308724832215
"22","5_2","no distracter",0.945945945945946
"23","5_3","no distracter",0.961038961038961
"24","5_4","no distracter",0.934210526315789
"25","5_5","no distracter",0.940789473684211
"26","6_1","no distracter",0.947712418300654
"27","6_2","no distracter",0.912751677852349
"28","6_3","no distracter",0.960526315789474
"29","6_4","no distracter",0.972972972972973
"30","6_5","no distracter",0.959459459459459
"31","1_1","congruent",0.966216216216216
"32","1_2","congruent",0.993288590604027
"33","1_3","congruent",0.972972972972973
"34","1_4","congruent",0.885135135135135
"35","1_5","congruent",0.993377483443709
"36","2_1","congruent",0.928104575163399
"37","2_2","congruent",0.959459459459459
"38","2_3","congruent",1
"39","2_4","congruent",0.986666666666667
"40","2_5","congruent",0.953020134228188
"41","3_1","congruent",0.901315789473684
"42","3_2","congruent",0.811688311688312
"43","3_3","congruent",0.966216216216216
"44","3_4","congruent",0.993288590604027
"45","3_5","congruent",0.973333333333333
"46","4_1","congruent",0.94
"47","4_2","congruent",0.980263157894737
"48","4_3","congruent",0.94
"49","4_4","congruent",0.898648648648649
"50","4_5","congruent",0.926174496644295
"51","5_1","congruent",0.946666666666667
"52","5_2","congruent",0.959459459459459
"53","5_3","congruent",0.973333333333333
"54","5_4","congruent",0.907284768211921
"55","5_5","congruent",0.953333333333333
"56","6_1","congruent",0.973154362416107
"57","6_2","congruent",0.941558441558442
"58","6_3","congruent",0.960264900662252
"59","6_4","congruent",0.961038961038961
"60","6_5","congruent",0.908496732026144
"61","1_1","incongruent",0.883116883116883
"62","1_2","incongruent",0.980132450331126
"63","1_3","incongruent",0.973856209150327
"64","1_4","incongruent",0.801324503311258
"65","1_5","incongruent",0.993333333333333
"66","2_1","incongruent",0.901960784313726
"67","2_2","incongruent",0.901960784313726
"68","2_3","incongruent",0.993288590604027
"69","2_4","incongruent",0.954248366013072
"70","2_5","incongruent",0.967320261437909
"71","3_1","incongruent",0.939597315436242
"72","3_2","incongruent",0.813333333333333
"73","3_3","incongruent",0.914473684210526
"74","3_4","incongruent",0.993464052287582
"75","3_5","incongruent",0.896103896103896
"76","4_1","incongruent",0.914473684210526
"77","4_2","incongruent",0.960526315789474
"78","4_3","incongruent",0.76510067114094
"79","4_4","incongruent",0.946666666666667
"80","4_5","incongruent",0.900662251655629
"81","5_1","incongruent",0.986928104575163
"82","5_2","incongruent",0.948717948717949
"83","5_3","incongruent",0.418918918918919
"84","5_4","incongruent",0.832214765100671
"85","5_5","incongruent",0.92
"86","6_1","incongruent",0.906666666666667
"87","6_2","incongruent",0.919463087248322
"88","6_3","incongruent",0.939597315436242
"89","6_4","incongruent",0.94
"90","6_5","incongruent",0.973509933774834
